image, root_name, root, length, vector_length, surface, volume, direction, diameter, root_order, root_ontology, parent_name, parent, insertion_position, insertion_angle, n_child, child_density, first_child, insertion_first_child, last_child, insertion_last_child
sev_ra_515, R15, 5ce84de8-001d-4a45-93a1-9acf8b0aa654, 0.7909131, 0.7778904, 0.062465042, 4.007394E-4, 90.4416152154545, 0.025499545, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_515, R14, 5376a28c-fa58-42fc-9309-bd50877a59df, 8.6053915, 7.829049, 1.389062, 0.01819706, 130.8622580820506, 0.050763473, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_515, R13, f55bdde9-af26-41d8-b22e-e8f51c22ba76, 3.0335813, 1.6510038, 0.3816619, 0.003958839, 190.14427026615098, 0.03914373, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_515, R12, 4f7a4fce-c398-461c-a993-7f457fcf1d47, 1.5243247, 1.4679632, 0.2880774, 0.0047534863, 134.82805715945676, 0.056467455, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_515, R11, 3b7a7b14-9f6c-4f21-b29c-74d8bcb719a2, 0.2814244, 0.2720949, 0.03957134, 4.7245057E-4, 286.36081725504044, 0.046594746, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_515, R10, e27b3d61-d87b-43cf-bdd9-3256d7a1b77e, 7.7758512, 5.3373723, 1.4668585, 0.022874339, 158.84367163976026, 0.058258317, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_515, R9, bd05fc6f-3a6c-440a-84d6-a7e940af2c36, 2.6917872, 2.4337378, 0.39212528, 0.004834309, 312.0145160039881, 0.04407546, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_515, R8, 125f1137-25e5-4a52-8b4f-fb76e0626093, 1.0222032, 0.9838413, 0.12830636, 0.0013794462, 137.01877203384666, 0.042333327, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_515, R7, c6cce091-ad26-4862-9aeb-345a53267893, 1.1485995, 1.0769652, 0.14582904, 0.0015036288, 79.47741989934569, 0.04153859, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_515, R6, 0888fe27-f42e-4960-b456-7499ae61fe34, 2.2295306, 2.1507807, 0.4667612, 0.0077980044, 313.57745453138375, 0.065207414, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_515, R5, f41804eb-5c7b-4efc-b795-a191b0540b4f, 6.609811, 6.116788, 1.3010811, 0.021021804, 140.13316071045404, 0.06080408, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_515, R4, 2872924b-6dfd-4ea7-b871-3b364c9ad9dc, 1.0519019, 1.0369076, 0.12054844, 0.0011140583, 300.43231834158735, 0.03680521, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_515, R3, f5b37f6f-0f49-4a6c-b88a-a63de2f332e9, 0.3550245, 0.34753492, 0.053230636, 6.376902E-4, 294.7380169513044, 0.046475798, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_515, R2, 5095dae1-e843-4274-bf23-54361999380b, 6.451402, 5.8437986, 1.1003112, 0.016104205, 119.24268562451155, 0.052433595, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_515, R1, 4fb6b38b-1752-4c3d-95bc-1987c5dbf5eb, 2.7195446, 2.4091456, 0.35014245, 0.0037383535, 149.2089794757836, 0.04021399, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
