image, root_name, root, length, vector_length, surface, volume, direction, diameter, root_order, root_ontology, parent_name, parent, insertion_position, insertion_angle, n_child, child_density, first_child, insertion_first_child, last_child, insertion_last_child
sev_ra_555, R13, 0c4eb7ac-9e58-46ff-b56a-cb712dadfc01, 0.47264388, 0.27260867, 0.026810335, 1.2723141E-4, 208.85368836518998, 0.017290391, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_555, R12, 94333926-f92a-42c6-9f07-74e4725b4a20, 0.35088146, 0.33866978, 0.034475066, 2.7389114E-4, 86.83774103197815, 0.03163695, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_555, R11, 3489c90d-5e77-4872-a126-04e82fc2c331, 1.592809, 1.3049524, 0.10656033, 6.2470004E-4, 255.51838771817418, 0.01970835, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_555, R10, 562a8963-4034-477a-a3d9-19a6b2f4e619, 0.809848, 0.78596085, 0.047738556, 2.3224668E-4, 261.0630260033638, 0.018426541, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_555, R9, 2a08f3c1-7545-4541-8e84-457100aee073, 0.1210555, 0.11696593, 0.006159556, 2.7860644E-5, 65.06253788246556, 0.016813746, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_555, R8, 681dad03-034d-48c5-9a12-90cbc792df01, 0.04606754, 0.046048544, 0.003161349, 1.7181068E-5, 85.88937609591105, 0.022190647, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_555, R7, 211fcb04-493a-4e74-9f52-122f024d333b, 0.9060474, 0.7861413, 0.053538762, 2.6000943E-4, 276.4352956362046, 0.017908867, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_555, R6, 723e8616-0b6a-4769-9a29-76f4c7a650b8, 0.45267576, 0.42790553, 0.026757699, 1.330198E-4, 317.40561163663585, 0.01850048, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_555, R5, 38cbe985-a457-4fa1-9cd0-1f7aee4bfee2, 0.8167752, 0.6258577, 0.05298126, 2.8843913E-4, 104.4690479214765, 0.020269196, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_555, R4, 46f93e9e-c292-4b94-b071-a7a2c4dcd996, 0.7510856, 0.7040735, 0.036725335, 1.4894368E-4, 50.711518134325054, 0.015872369, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_555, R3, c4662bc0-b057-4104-98bb-e01a1c59bdea, 0.56806254, 0.39594182, 0.027544158, 1.2301115E-4, 84.80393609339097, 0.014267598, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_555, R2, bdbb7091-6c0e-47a1-973a-bcb813c78940, 0.5478779, 0.5060274, 0.026107235, 1.0291855E-4, 216.11818194376715, 0.014557807, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_555, R1, 8a022c55-3ff6-4a38-aaf9-7eb644e27a14, 0.6595428, 0.6210484, 0.03307745, 1.3386154E-4, 83.64399921759355, 0.015941173, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
