image, root_name, root, length, vector_length, surface, volume, direction, diameter, root_order, root_ontology, parent_name, parent, insertion_position, insertion_angle, n_child, child_density, first_child, insertion_first_child, last_child, insertion_last_child
sev_ra_524, R47, 4d5c6ca2-ca6a-4966-ad1a-18c32290d19a, 0.14689845, 0.1259701, 0.0065817893, 2.6306408E-5, 125.2450695274971, 0.015238104, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_524, R46, 3734ff82-19cc-41e0-9a0a-9f67f6639f2a, 0.78448933, 0.6949335, 0.042648338, 2.1253437E-4, 65.28784533261677, 0.017807858, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_524, R45, ac6c4f63-820c-44b0-aeb3-7b7d7b2d4752, 0.20784132, 0.19046746, 0.009281179, 4.1229785E-5, 314.9702393861761, 0.015653295, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_524, R44, c4f06f65-93c5-42d9-96ae-c4ae8e159168, 0.17643908, 0.15289095, 0.008486071, 3.6423604E-5, 217.360251844334, 0.017776098, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_524, R43, a4017b6f-081e-4671-8bf6-e4c927868a1f, 0.11584742, 0.09525288, 0.0065191453, 3.1905893E-5, 187.26512696493717, 0.017458646, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_524, R42, b0437bff-6dee-4d92-9b98-e28908155efb, 0.09548188, 0.09437097, 0.007495481, 4.7992173E-5, 23.312144269379907, 0.023771416, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_524, R41, 54cc1140-b577-4d31-a42d-02188df4c5d3, 5.138953, 0.83771515, 0.33246943, 0.0019104251, 186.6721162808183, 0.020718787, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_524, R40, 5c4271ff-ba40-4dca-b799-253542c6b6d6, 0.61155945, 0.5643686, 0.022252126, 6.532069E-5, 274.90227333737363, 0.01163261, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_524, R39, 060b6b16-a0fa-478e-9309-a9528fbb979a, 0.2334762, 0.21623565, 0.0125611, 6.1382976E-5, 281.0102383045492, 0.020875417, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_524, R38, 9d6a64d9-c36e-4582-a098-4c7be444b644, 0.12699012, 0.12210229, 0.009847312, 6.0473005E-5, 34.62108484610866, 0.023654172, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_524, R37, d6f73853-e74c-480d-964f-0b1d3bcccb56, 3.8950303, 3.77652, 0.2711783, 0.0016281254, 283.1968004239237, 0.023132984, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_524, R36, 022fe630-d178-43e8-9510-ea1088ddc697, 0.62936604, 0.59911364, 0.04833937, 3.2022598E-4, 307.55464836277986, 0.02172774, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_524, R35, 7c5a747b-34d2-4e53-aa48-ac0b018eb17a, 2.1289697, 1.7920433, 0.15277724, 9.215842E-4, 128.0384119923572, 0.022102026, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_524, R34, a4f1e8d9-edc0-418a-b24d-ebf73082580d, 8.680358, 3.2709663, 0.7244201, 0.005305219, 162.950104312177, 0.02649784, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_524, R33, a61e8409-b342-4efa-8d20-75cf43d89cdf, 0.082905926, 0.07658655, 0.0033323732, 1.2141883E-5, 241.50494323957238, 0.013203704, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_524, R32, 065c1a9e-a679-49e0-ac98-318aceb1c895, 0.20858447, 0.19846253, 0.012614305, 6.866928E-5, 242.9373158707941, 0.018193949, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_524, R31, 88dff2ec-1fc1-4cf5-bead-b226c9e4eea5, 0.42391223, 0.37574923, 0.021615438, 9.204261E-5, 192.4434895256957, 0.016644381, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
