image, root_name, root, length, vector_length, surface, volume, direction, diameter, root_order, root_ontology, parent_name, parent, insertion_position, insertion_angle, n_child, child_density, first_child, insertion_first_child, last_child, insertion_last_child
sev_ra_527, R7, 2250e9db-39aa-4fef-b5a8-cefd38ec7356, 0.11019476, 0.108283706, 0.009219858, 6.104058E-5, 199.08188698381448, 0.027001387, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_527, R6, c64d66ac-63ba-41e9-83b8-d604a4725fdd, 0.32129002, 0.315895, 0.06144069, 0.0015067923, 71.31966735092507, 0.041423917, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_527, R5, db1119d9-6801-4e56-8a23-6b829bccf5ed, 5.489804, 5.402768, 3.2784011, 0.16435814, 320.94020721136076, 0.17542733, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_527, R4, 90553dd1-6fe8-4e5e-b86b-bc105adccdd3, 0.21359678, 0.21359678, 0.11877345, 0.0049982383, 256.29107335859936, 0.16722526, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_527, R3, 04049579-a010-46ea-b0e1-aef49ba4c8fd, 5.0081515, 4.933745, 2.7043545, 0.11705585, 313.6475049515114, 0.16906399, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_527, R2, 7cf7e9ba-b412-410b-9b0e-edbdec58d0f8, 4.148394, 4.031409, 2.0535934, 0.08163753, 322.8594084058643, 0.15612787, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_527, R1, 2318ad0d-1bba-4742-a251-95a5e1ab2df2, 3.7127383, 3.702974, 2.4811687, 0.13430788, 321.07265823974564, 0.20673686, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
