image, root_name, root, length, vector_length, surface, volume, direction, diameter, root_order, root_ontology, parent_name, parent, insertion_position, insertion_angle, n_child, child_density, first_child, insertion_first_child, last_child, insertion_last_child
sev_ra_619, R16, 6820158f-3a3d-4035-b5c4-2f02cd75f1e6, 0.096260466, 0.095705196, 0.010786892, 9.38736E-5, 224.05363232527137, 0.035208758, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_619, R15, 5ef0ec5a-3d6a-41bc-9491-7fb3cca81984, 3.2264159, 1.3368076, 0.3784667, 0.0036746378, 211.40285156722214, 0.03684024, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_619, R14, 091e2bcb-39f7-4eba-aa9f-548aeb3fe337, 1.3501961, 1.0466857, 0.11458935, 8.353105E-4, 103.94603984616111, 0.026021255, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_619, R13, f45b9f59-3c00-49b8-a8c1-07fdcf591c46, 0.060079113, 0.060079113, 0.0059298216, 4.847857E-5, 354.9899842994383, 0.029632183, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_619, R12, 35cc2e88-df3f-4c52-8cd9-abf59a85bd06, 1.46072, 1.2129394, 0.12082396, 8.669516E-4, 201.89637571434494, 0.026069209, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_619, R11, 34bc9c0d-4215-4d9c-935a-a48fdb178ddf, 0.11463992, 0.10309296, 0.008502971, 5.189134E-5, 298.2201839939603, 0.018395372, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_619, R10, c34f99e4-c036-43cc-973b-c1f0d92c9c51, 1.2339177, 1.1153383, 0.10979199, 8.5214747E-4, 87.00422689299721, 0.026404643, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_619, R9, 01933315-8836-4399-b991-e26f41c83d10, 0.4838677, 0.37992862, 0.02878586, 1.3953002E-4, 282.28890435868897, 0.019128097, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_619, R8, cac51736-8941-4e21-ad1b-779d3756389c, 2.8003407, 2.5664563, 0.23972276, 0.0018013862, 304.39393734322147, 0.026434412, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_619, R7, 592da403-2534-47df-9c5a-10dd618b71cd, 0.91818, 0.7927944, 0.06147401, 3.418625E-4, 238.42430935784319, 0.02006005, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_619, R6, 97d98bb9-a57f-4a0a-9ed4-ec87e3587085, 2.6157339, 2.4012725, 0.2820761, 0.0025397153, 299.95901355286213, 0.033173576, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_619, R5, ef53519f-afa3-44c8-8b5e-7592d8802851, 0.6140566, 0.57019657, 0.05851895, 4.529155E-4, 104.93002421874984, 0.028315883, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_619, R4, 27e16eef-b293-4c3a-aff7-6cee2a013fc4, 1.9637182, 1.6933007, 0.24642119, 0.0025130834, 284.65641184955547, 0.038852204, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_619, R3, 8047759c-41d8-44e5-bab8-99744e626c5e, 1.9520205, 1.6766794, 0.21212628, 0.0019307379, 73.87882311971296, 0.033038367, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_619, R2, 513e7e93-4b89-4863-bdee-94fdf0f4e476, 1.2290027, 1.2017416, 0.11814179, 9.359359E-4, 105.6611481580755, 0.029663796, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_619, R1, b52ef2cf-4525-4b66-9f57-b4b9b6af1b4b, 3.0897682, 2.6784196, 0.2276758, 0.0014189141, 104.10466415944549, 0.023379497, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
