image, root_name, root, length, vector_length, surface, volume, direction, diameter, root_order, root_ontology, parent_name, parent, insertion_position, insertion_angle, n_child, child_density, first_child, insertion_first_child, last_child, insertion_last_child
sev_ra_616, R50, e424f7e3-0c8d-4fb0-8cc3-db3cecac7896, 0.8488848, 0.75401676, 0.047893476, 2.3882357E-4, 142.67199666646115, 0.017680522, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_616, R49, 49c77150-40e0-4c0a-8826-d2c1ef599ae3, 0.99813384, 0.94282, 0.08500681, 6.1123085E-4, 295.46447587142694, 0.029029274, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_616, R48, 0084ddbb-3a3d-4c4f-b1a4-dc66d8631b18, 0.22768374, 0.2241641, 0.010627157, 4.3616412E-5, 285.2462943070344, 0.015493526, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_616, R47, 6f945055-5b18-4f43-9a95-728e4b68d7ce, 0.15439455, 0.15064141, 0.008523721, 3.9108647E-5, 29.59120035262245, 0.016046261, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_616, R46, 20e52b14-345f-4044-a28b-391135379f3f, 0.19541895, 0.17658986, 0.014596056, 1.1907691E-4, 211.79536887844444, 0.020153075, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_616, R45, e51700a2-6ca7-4399-be12-844953cdb035, 1.3949039, 1.3396456, 0.15530661, 0.0013899045, 314.98955516114887, 0.03515296, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_616, R44, 84b6c3bb-f585-4f2c-b501-184b03bafcc4, 2.4536066, 2.381196, 0.33265546, 0.0037572614, 318.6566017642587, 0.042103454, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_616, R43, bb9882e2-614a-4141-8276-aed63c580464, 0.23696692, 0.11525178, 0.018488303, 1.5131957E-4, 212.08487327660458, 0.027463892, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_616, R42, fd09a064-919f-44ed-aae3-a920aa3952ea, 0.29660565, 0.2848115, 0.020917246, 1.3438892E-4, 76.29297397242148, 0.02199649, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
sev_ra_616, R41, 413b7af1-d67e-4088-b2d1-b64b02ff0867, 0.077315085, 0.07676437, 0.005003935, 2.613822E-5, 227.67699303844978, 0.019865135, 0, Primary root, -1, -1, -0.008466667, -57.29577951308232, 0, 0.0, null, null, null, null
