kartez,family,genus,taxon,new.taxon
OECA10,Onagraceae,Oenothera,Oenothera_caespitosa,Oenothera_caespitosa
PEAN,Asteraceae,Pectis,Pectis_angustifolia,Pectis_angustifolia
PEFE,Scrophulariaceae,Penstemon,Penstemon_fendleri,Penstemon_fendleri
PHCR,Hydrophyllaceae,Phacelia,Phacelia_crenulata,Phacelia_crenulata
PLJA,Poaceae,Hilaria,Hilaria_jamesii,Hilaria_jamesii
PLPA2,Plantaginaceae,Plantago,Plantago_patagonica,Plantago_patagonica
POHA5,Portulacaceae,Portulaca,Portulaca_halimoides,Portulaca_halimoides
POOL,Portulacaceae,Portulaca,Portulaca_oleracea,Portulaca_oleracea
RHTR,Anacardiaceae,Rhus,Rhus_trilobata,Rhus_trilobata
SAAB,Asteraceae,Sanvitalia,Sanvitalia_abertii,Sanvitalia_abertii
SASU7,Lamiaceae,Salvia,Salvia_subincisa,Salvia_subincisa
SATR12,Chenopodiaceae,Salsola,Salsola_tragus,Salsola_kali
SCBR2,Poaceae,Scleropogon,Scleropogon_brevifolius,Scleropogon_brevifolius
SCMU6,Asteraceae,Schkuhria,Schkuhria_multiflora,Schkuhria_multiflora
SEBA3,Fabaceae,Senna,Senna_bauhinioides,Senna_bauhinioides
SEDI3,Nyctaginaceae,Selinocarpus,Selinocarpus_diffusus,Acleisanthes_diffusa
SEFLF,Asteraceae,Senecio,Senecio_flaccidus,Senecio_flaccidus
SOEL,Solanaceae,Solanum,Solanum_elaeagnifolium,Solanum_elaeagnifolium
SPCO4,Poaceae,Sporobolus,Sporobolus_contractus,Sporobolus_contractus
SPCOC,Malvaceae,Sphaeralcea,Sphaeralcea_coccinea,Sphaeralcea_coccinea
SPFL2,Poaceae,Sporobolus,Sporobolus_flexuosus,Sporobolus_flexuosus
SPHA,Malvaceae,Sphaeralcea,Sphaeralcea_hastulata,Sphaeralcea_hastulata
SPPO6,Malvaceae,Sphaeralcea,Sphaeralcea_polychroma,Sphaeralcea_polychroma
STPA4,Asteraceae,Stephanomeria,Stephanomeria_pauciflora,Stephanomeria_pauciflora
TECO,Verbenaceae,Tetraclea,Tetraclea_coulteri,Clerodendrum_coulteri
THAC,Asteraceae,Thymophylla,Thymophylla_acerosa,Thymophylla_acerosa
THME,Asteraceae,Thelesperma,Thelesperma_megapotamicum,Thelesperma_megapotamicum
TILA2,Amaranthaceae,Tidestromia,Tidestromia_lanuginosa,Tidestromia_lanuginosa
ZIGR,Asteraceae,Zinnia,Zinnia_grandiflora,Zinnia_grandiflora
