kartez,family,genus.old,genus.new,species.old,species.new,taxon.old,taxon.new,life_cycle,life_form,native,path,g_f,apgf,a_p,avg.height_A,avg.height_B,avg.height_C,avg.height_F,avg.height_G,avg.height_P,max.height_A,max.height_B,max.height_C,max.height_F,max.height_G,max.height_P,p95.height_A,p95.height_B,p95.height_C,p95.height_F,p95.height_G,p95.height_P,ldmc,sla,lma,area,d15N,d13C,pN,pC,cn,sdmc,rdmc,sdens,rdens,fr.diam,fr.dmc,fr.srl,fr.dens,seed_mass,F_A_BM_acor,F_A_BM_cv,F_B_BM_acor,F_B_BM_cv,F_C_BM_acor,F_C_BM_cv,F_F_BM_acor,F_F_BM_cv,F_G_BM_acor,F_G_BM_cv,F_P_BM_acor,F_P_BM_cv
BELY,Asteraceae,Berlandiera,Berlandiera,lyrata,lyrata,Berlandiera_lyrata,Berlandiera_lyrata,p,H,y,C3,f,p_f,1,1.0943,1.0943,NA,1.0943,NA,NA,3,3,NA,3,NA,NA,2.4,2.4,NA,2.4,NA,NA,0.1826,27.2541,0.0367,4.5384,1.5093,-29.3011,3.3858,47.693,14.0859,0.2131,0.249,3e-4,3e-4,NA,NA,NA,NA,3.5284,-0.00476190476190476,3.872983346207417,-0.00476190476190476,3.872983346207417,NA,NA,-0.00476190476190476,3.872983346207417,NA,NA,NA,NA
BOBA2,Poaceae,Bouteloua,Chondrosum,barbata,barbatum,Bouteloua_barbata,Chondrosum_barbatum,a,G,y,C4,g,a_g,0,6.973,8.0289,7.1402,6.6792,3.7424,8.0445,32,24,32,32,24,27,19,20,19,19,17.35,20,0.3041,43.2137,0.0242,0.1502,3.7152,-14.7843,0.9685,41.5298,49.623,0.3037,NA,0.002,NA,0.0279,0.1423,0.0756,201.3602,0.1001,-0.09300579299620894,3.0012481004288754,-0.02300797848846271,3.313191658033473,-0.13238070204680613,2.7402669497549854,-0.0995083949023226,2.961471664836974,-0.08372439100370659,3.4264340842638106,-0.06121529478854212,3.195710674433729
BOCU,Poaceae,Bouteloua,Bouteloua,curtipendula,curtipendula,Bouteloua_curtipendula,Bouteloua_curtipendula,p,G,y,C4,g,p_g,1,18.2781,NA,NA,NA,NA,18.2781,62,NA,NA,NA,NA,62,41,NA,NA,NA,NA,41,0.3914,26.9665,0.0374,2.1559,-3.1759,-16.0679,1.3818,42.9031,31.956,0.4263,0.3873,9e-4,0.0011,0.0709,0.1961,0.754,205.5004,0.5411,-0.02396612060783559,2.2194676606477435,NA,NA,NA,NA,NA,NA,NA,NA,-0.02396612060783559,2.2194676606477435
BOER4,Poaceae,Bouteloua,Chondrosum,eriopoda,eriopoda,Bouteloua_eriopoda,Chondrosum_eriopoda,p,G,y,C4,g,p_g,1,11.9218,10.6117,10.2888,12.6467,13.1649,10.4124,80,33,37,80,80,36,23,19.9,22,24,24,21,0.3656,28.7501,0.0348,0.5711,0.7917,-15.1882,1.2478,43.5096,36.704,0.4926,0.3242,0.0013,0.0014,0.0851,0.2009,0.9078,191.3531,0.1818,0.26682176772370886,1.2022789253345043,0.25798897327381265,1.2007083477708562,0.15050657204479032,2.6673735165781034,0.258334194554052,1.3013520499597038,0.3272969937947305,0.5327093643004787,0.2759380500170441,1.0958670507370678
BOGR2,Poaceae,Bouteloua,Chondrosum,gracilis,gracile,Bouteloua_gracilis,Chondrosum_gracile,p,G,y,C4,g,p_g,1,9.6795,9.6661,NA,9.6941,16.1625,9.6529,51,45,NA,45,32,51,24,22,NA,22,28,25,0.4242,23.7876,0.0423,0.6031,0.394,-15.8695,1.6414,44.4854,27.8672,0.3399,0.3246,0.001,0.0016,0.0961,0.1465,0.8855,126.8857,0.3957,0.10695089421208095,1.5786312408869214,0.2195318092492722,0.8254134581696994,NA,NA,0.2195318092492722,0.8254134581696994,NA,NA,0.06812988902684258,1.838361510789412
BOHI2,Poaceae,Bouteloua,Chondrosum,hirsuta,hirsutum,Bouteloua_hirsuta,Chondrosum_hirsutum,p,G,y,C4,g,p_g,1,6.1126,NA,NA,NA,NA,6.1126,30,NA,NA,NA,NA,30,15,NA,NA,NA,NA,15,0.4207,27.8072,0.0363,0.2655,-1.8403,-15.8518,1.2319,39.9247,32.3883,0.3396,0.3153,0.0011,0.0022,0.0415,0.1495,0.1784,170.3204,0.3807,0.07636399730864452,3.2097644349502525,NA,NA,NA,NA,NA,NA,NA,NA,0.07636399730864452,3.2097644349502525
BRCA3,Asteraceae,Brickellia,Brickellia,californica,californica,Brickellia_californica,Brickellia_californica,p,S/ss,y,C3,s,p_s,1,20.6866,NA,NA,NA,NA,20.6866,42,NA,NA,NA,NA,42,41.8,NA,NA,NA,NA,41.8,0.18,51.2645,0.022,2.4899,-0.6686,-28.6222,2.207,47.3638,21.6491,0.3374,0.3943,4e-4,5e-4,0.0664,0.1163,0.2694,91.7308,0.2393,-0.02944336370267839,3.3440172072644474,NA,NA,NA,NA,NA,NA,NA,NA,-0.02944336370267839,3.3440172072644474
BREUC2,Asteraceae,Brickellia,Brickellia,eupatorioides,eupatorioides,Brickellia_eupatorioides,Brickellia_eupatorioides,p,H/ss,y,C3,f,p_f,1,15.8788,15.8788,NA,15.8788,NA,NA,39,39,NA,39,NA,NA,34.5,34.5,NA,34.5,NA,NA,0.1933,32.601,0.031,0.3914,3.9397,-29.9982,2.3717,49.2901,21.9159,0.3366,0.3831,5e-4,5e-4,0.0629,0.0833,0.2017,72.3463,1.7304,-0.1008374753134626,3.3113944716271533,-0.1008374753134626,3.3113944716271533,NA,NA,-0.1008374753134626,3.3113944716271533,NA,NA,NA,NA
CHAL11,Euphorbiaceae,Euphorbia,Euphorbia,albomarginata,albomarginata,Euphorbia_albomarginata,Euphorbia_albomarginata,p,H,y,C4,f,p_f,1,1.602,1.603,NA,1.602,1,NA,14,14,NA,14,1,NA,3,3,NA,3,1,NA,0.3282,19.6068,0.0513,0.323,1.2314,-13.5392,1.2973,46.4721,35.966,0.2545,0.3824,7e-4,9e-4,0.0451,0.0607,0.1213,91.6018,0.2825,-0.17065095561739477,1.8884206390672311,-0.17065095561739477,1.8884206390672311,NA,NA,-0.17065095561739477,1.8884206390672311,NA,NA,NA,NA
CHCHC3,Euphorbiaceae,Euphorbia,Euphorbia,chaetocalyx,chaetocalyx,Euphorbia_chaetocalyx,Euphorbia_chaetocalyx,p,ss/H,y,C4,f,p_f,1,3.3313,NA,NA,NA,NA,3.3313,10,NA,NA,NA,NA,10,6,NA,NA,NA,NA,6,0.2928,29.5603,0.0346,0.2919,-3.7083,-15.4062,1.7602,46.7111,26.8071,0.3983,0.4902,0.0013,7e-4,NA,NA,NA,NA,NA,0.18276558546734983,2.597789679968922,NA,NA,NA,NA,NA,NA,NA,NA,0.18276558546734983,2.597789679968922
