kartez,family,genus.old,genus.new,species.old,species.new,taxon.old,taxon.new,life_cycle,life_form,native,path,g_f,apgf,a_p,avg.height_A,avg.height_B,avg.height_C,avg.height_F,avg.height_G,avg.height_P,max.height_A,max.height_B,max.height_C,max.height_F,max.height_G,max.height_P,p95.height_A,p95.height_B,p95.height_C,p95.height_F,p95.height_G,p95.height_P,ldmc,sla,lma,area,d15N,d13C,pN,pC,cn,sdmc,rdmc,sdens,rdens,fr.diam,fr.dmc,fr.srl,fr.dens,seed_mass,F_A_BM_acor,F_A_BM_cv,F_B_BM_acor,F_B_BM_cv,F_C_BM_acor,F_C_BM_cv,F_F_BM_acor,F_F_BM_cv,F_G_BM_acor,F_G_BM_cv,F_P_BM_acor,F_P_BM_cv
EVNU,Convolvulaceae,Evolvulus,Evolvulus,nuttallianus,nuttallianus,Evolvulus_nuttallianus,Evolvulus_nuttallianus,p,ss/H,y,C3,f,p_f,1,6.2593,6.2593,NA,6.2593,NA,NA,14,14,NA,14,NA,NA,11.85,11.85,NA,11.85,NA,NA,0.3142,19.762,0.0515,0.2925,1.869,-27.5321,2.0804,45.0515,22.0549,0.24,0.4919,5e-4,4e-4,0.0819,0.167,0.6002,128.1785,4.0905,0.04929370755322108,2.7417933927555023,0.04929370755322108,2.7417933927555023,NA,NA,0.04929370755322108,2.7417933927555023,NA,NA,NA,NA
GACO5,Onagraceae,Gaura,Gaura,coccinea,coccinea,Gaura_coccinea,Gaura_coccinea,p,ss/H,y,C3,f,p_f,1,14.16,14.16,NA,14.16,NA,NA,36,36,NA,36,NA,NA,29,29,NA,29,NA,NA,0.2638,23.1478,0.0437,0.5779,3.5217,-27.8958,2.5336,48.9177,19.3151,0.268,0.2859,4e-4,4e-4,0.0386,0.0358,0.0731,72.8203,13.1957,-0.01662906129063974,2.0311712481569764,-0.01662906129063974,2.0311712481569764,NA,NA,-0.01662906129063974,2.0311712481569764,NA,NA,NA,NA
GASUN,Onagraceae,Gaura,Gaura,suffulta,suffulta,Gaura_suffulta,Gaura_suffulta,a,H,y,C3,f,a_f,0,4.7736,4.7736,NA,4.7736,NA,NA,49,49,NA,49,NA,NA,28.5,28.5,NA,28.5,NA,NA,0.2036,28.9526,0.0347,1.1999,5.1044,-27.8129,1.7873000000000001,44.1123,29.3241,0.2026,0.2339,3e-4,3e-4,NA,NA,NA,NA,0.8419,-0.01682325721706129,3.0355122465539024,-0.01682325721706129,3.0355122465539024,NA,NA,-0.01682325721706129,3.0355122465539024,NA,NA,NA,NA
GLBI2,Verbenaceae,Glandularia,Glandularia,bipinnatifida,bipinnatifida,Glandularia_bipinnatifida,Glandularia_bipinnatifida,ap,H,y,C3,f,p_f,1,3.7839,3.4646,NA,3.4646,NA,4.6559,22,22,NA,22,NA,21,16,17,NA,17,NA,15.35,0.2175,29.326,0.0343,1.0693,-1.358,-28.9291,2.1033,45.0021,22.0841,0.3036,0.363,6e-4,6e-4,0.0508,0.0422,0.0553,36.8313,1.1614,-0.03729409423270028,3.283371156355394,-0.02430986508618893,3.1834712029231564,NA,NA,-0.02430986508618893,3.1834712029231564,NA,NA,-0.04196841672544437,3.3193351395909994
GUSA2,Asteraceae,Gutierrezia,Gutierrezia,sarothrae,sarothrae,Gutierrezia_sarothrae,Gutierrezia_sarothrae,p,S/ss/H,y,C3,s,p_s,1,17.1608,24,18.1452,17.3229,16.3663,16,61,24,61,61,49,48,37,24,39.55,37,33,30,0.3586,19.7551,0.0572,0.2948,3.295,-27.1808,2.22,53.7884,24.8032,0.3846,0.4729,8e-4,7e-4,0.0531,0.0685,0.1312,69.5857,0.0979,0.2012106748431892,2.788985320520232,-0.07619047619047624,3.872983346207417,0.12030140264133024,2.94267537594168,0.19290393253265,2.826902805356431,0.32079089062598776,2.5886965543987666,0.2272384674162121,2.6701772013668092
HENA,Lamiaceae,Hedeoma,Hedeoma,nana,nana,Hedeoma_nana,Hedeoma_nana,ap,H,y,C3,f,p_f,1,8.8947,NA,NA,NA,NA,8.8947,37,NA,NA,NA,NA,37,28.8,NA,NA,NA,NA,28.8,0.2747,29.5749,0.0356,0.5324,-0.0213,-30.6471,1.568,50.2375,32.8741,0.2735,0.3313,0.001,5e-4,0.0338,0.0732,0.0527,89.1023,0.1177,0.16229106621116532,2.761184265730621,NA,NA,NA,NA,NA,NA,NA,NA,0.16229106621116532,2.761184265730621
HEPI2,Asteraceae,Heterosperma,Heterosperma,pinnatum,pinnatum,Heterosperma_pinnatum,Heterosperma_pinnatum,a,H,y,NA,f,a_f,0,13.6571,NA,NA,NA,NA,13.6571,55,NA,NA,NA,NA,55,35,NA,NA,NA,NA,35,0.1117,50.1895,0.0202,0.4109,-2.475,-29.7508,2.2329,44.0775,20.2353,0.2421,0.2992,7e-4,0.0011,0.0308,0.0773,0.0449,73.674,0.7983,0.02215881491062685,3.2565395456795008,NA,NA,NA,NA,NA,NA,NA,NA,0.02215881491062685,3.2565395456795008
HODR,Fabaceae,Hoffmannseggia,Hoffmannseggia,drepanocarpa,drepanocarpa,Hoffmannseggia_drepanocarpa,Hoffmannseggia_drepanocarpa,p,ss/H,y,C3,f,p_f,1,5.6776,4.2593,4.9009,5.6776,5.9705,NA,23,8,12,23,23,NA,11,7.75,10,11,12,NA,0.3239,24.813,0.0408,0.2536,1.3114,-28.0891,2.0165,46.759,23.7281,0.3274,0.4607,9e-4,6e-4,0.0325,0.0572,0.1255,238.3799,5.6493,0.05117100180425617,2.4032692332815446,0.17608152257328913,2.819974880213456,5.440351045063615e-4,1.841213565837707,0.05117100180425617,2.4032692332815446,0.05476705238161838,2.5725307473348247,NA,NA
HYFIC,Asteraceae,Hymenopappus,Hymenopappus,filifolius,filifolius,Hymenopappus_filifolius,Hymenopappus_filifolius,p,ss/H,y,C3,f,p_f,1,4.1024,3.5676,NA,4.1024,7.8125,NA,36,34,NA,36,36,NA,32,26.6,NA,32,30,NA,0.1496,28.8882,0.0363,1.4414,1.265,-29.2297,1.571,47.6054,34.6004,0.2724,0.2371,4e-4,3e-4,0.0831,0.086,0.2629,57.4746,1.0313,-0.04187815463501618,3.567114631359259,-0.04187815463501618,3.567114631359259,NA,NA,-0.04187815463501618,3.567114631359259,NA,NA,NA,NA
IPCO2,Convolvulaceae,Ipomoea,Ipomoea,costellata,costellata,Ipomoea_costellata,Ipomoea_costellata,a,V/H,y,C3,f,a_f,0,5.3661,5.4658,NA,5.4658,NA,3.0714,22,19,NA,19,NA,22,13,13,NA,13,NA,10.3,0.1579,37.1152,0.0275,1.1211,2.0928,-27.3754,2.9526,47.4704,19.1815,0.2605,0.2319,8e-4,8e-4,NA,NA,NA,NA,NA,-0.04988247387582547,3.6014403453762314,-0.03610385309221838,3.397783094752842,NA,NA,-0.03610385309221838,3.397783094752842,NA,NA,-0.06825396825396826,3.872983346207417
IPPU4,Polemoniaceae,Ipomopsis,Ipomopsis,pumila,pumila,Ipomopsis_pumila,Ipomopsis_pumila,a,H,y,C3,f,a_f,0,1.1923,NA,1.1923,1.1923,NA,NA,3,NA,3,3,NA,NA,3,NA,3,3,NA,NA,0.1564,21.7913,0.0461,0.2646,3.5314,-27.7486,2.1754,43.9419,20.4301,0.2413,0.3153,3e-4,4e-4,NA,NA,NA,NA,0.2408,-0.0775579663901298,3.8415715227584935,NA,NA,-0.0775579663901298,3.8415715227584935,-0.0775579663901298,3.8415715227584935,NA,NA,NA,NA
KAPA,Zygophyllaceae,Kallstroemia,Kallstroemia,parviflora,parviflora,Kallstroemia_parviflora,Kallstroemia_parviflora,a,H,y,C4,f,a_f,0,7.9319,8.1379,5.1692,7.8677,8.1429,8.2086,40,25,17,40,40,26,23,17,13,23,24,21.5,0.2117,39.5726,0.0271,0.3652,4.5657,-15.7664,1.6903,44.6391,29.4482,0.1585,0.2447,2e-4,4e-4,0.0381,0.0738,0.0351,59.2662,2.3972,-0.08442366689528183,3.4810251715992315,-0.07619047619047617,3.872983346207417,-0.10609638404416018,3.4011583958294027,-0.0901912994073856,3.636007733572411,-0.08952480791043282,3.635263537360213,-0.05991122871884072,2.8223492832132164
LAOCO,Boraginaceae,Lappula,Lappula,occidentalis,occidentalis,Lappula_occidentalis,Lappula_occidentalis,ab,H,y,C3,f,a_f,0,1.703,NA,1.9848,1.9848,NA,1.0303,7,NA,7,7,NA,2,4,NA,4.3,4.3,NA,1.55,0.194,37.6608,0.0269,0.3542,5.8598,-28.6926,2.0956,39.6904,20.9211,0.2922,0.2488,3e-4,3e-4,NA,NA,NA,NA,0.9886,-0.0730760352735291,3.7050197021008,NA,NA,-0.06662231913642803,3.708445850506821,-0.06662231913642803,3.708445850506821,NA,NA,-0.08874934589220308,3.6966990559718913
LATR2,Zygophyllaceae,Larrea,Larrea,tridentata,tridentata,Larrea_tridentata,Larrea_tridentata,p,S,y,C3,s,p_s,1,18.3856,NA,18.4022,18.3856,17.3876,NA,146,NA,114,146,146,NA,60,NA,60,60,86.5,NA,0.3649,16.2641,0.0615,0.4166,6.1391,-26.2074,2.8997,49.1576,16.9569,0.6217,0.5074,7e-4,6e-4,0.0261,0.0481,0.0329,120.5202,4.7099,0.3413948405119068,1.0769521171108465,NA,NA,0.3528553250100977,1.0016237848975271,0.3413948405119068,1.0769521171108465,0.1408363617935665,2.3951979308439317,NA,NA
LEFE,Brassicaceae,Physaria,Physaria,fendleri,fendleri,Physaria_fendleri,Physaria_fendleri,p,H,y,C3,f,p_f,1,3.0299,NA,2.9924,3.0299,4.8657,NA,20,NA,20,20,11,NA,10,NA,10,10,10,NA,0.2681,17.4911,0.0584,0.2863,1.8086,-27.179,2.1113,39.3591,22.659,0.3917,0.4162,6e-4,6e-4,0.032,0.0585,0.0275,57.0489,0.505,0.055980047612971,2.2581589993052535,NA,NA,0.04611220552157025,2.241279523031285,0.055980047612971,2.2581589993052535,0.2237333631667836,2.545110095962724,NA,NA
LEPI3,Brassicaceae,Physaria,Physaria,pinetorum,pinetorum,Physaria_pinetorum,Physaria_pinetorum,p,H,y,C3,f,p_f,1,2.1191,NA,NA,NA,NA,2.1191,12,NA,NA,NA,NA,12,5,NA,NA,NA,NA,5,0.2102,19.1919,0.053,1.2471,0.1794,-27.86,2.6186,39.4855,16.1136,0.2007,0.213,5e-4,4e-4,0.0441,0.0479,0.0564,46.7047,NA,0.04890281388815734,1.9686222811842833,NA,NA,NA,NA,NA,NA,NA,NA,0.04890281388815734,1.9686222811842833
LIPU4,Linaceae,Linum,Linum,puberulum,puberulum,Linum_puberulum,Linum_puberulum,a,H,y,C3,f,a_f,0,7,4.75,9.75,7,9.9737,NA,25,16,25,25,22,NA,19.7,14.35,22.9,19.7,20.75,NA,0.2541,14.2682,0.0708,0.1601,-1.159,-26.8287,1.4107,46.2466,32.9237,0.3743,0.3772,5e-4,5e-4,0.0294,0.07,0.0746,119.9348,0.6663,-0.07709002707563523,3.69989413461096,-0.06956750369190126,3.718036924522133,-0.08088250789221602,3.6370781801449863,-0.07709002707563523,3.69989413461096,-0.08647757174294578,3.7040879269771874,NA,NA
LYPH,Poaceae,Lycurus,Lycurus,phleoides,phleoides,Lycurus_phleoides,Lycurus_phleoides,p,G,y,C4,g,p_g,1,11.2152,NA,NA,NA,NA,11.2152,49,NA,NA,NA,NA,49,25.7,NA,NA,NA,NA,25.7,0.3823,35.7937,0.0284,0.6721,-2.986,-15.9284,1.856,45.5709,24.669,0.3223,0.2888,0.0015,0.0017,0.0855,0.1729,0.9087,163.7669,0.1171,0.15003818432463747,2.398542844699497,NA,NA,NA,NA,NA,NA,NA,NA,0.15003818432463747,2.398542844699497
MAGR10,Asteraceae,Machaeranthera,Machaeranthera,gracilis,gracilis,Machaeranthera_gracilis,Machaeranthera_gracilis,a,H,y,C3,f,a_f,0,14.6667,NA,17.5,14.6667,9,NA,29,NA,29,29,13,NA,26.75,NA,27.65,26.75,12.6,NA,0.2276,28.4637,0.0352,0.261,3.9347,-30.8144,1.6457,41.5494,25.687,0.3373,0.3912,5e-4,6e-4,0.0426,0.0448,0.0485,46.8022,0.2685,-0.07619047619047618,3.872983346207417,NA,NA,-0.0761904761904762,3.872983346207417,-0.07619047619047618,3.872983346207417,-0.07619047619047616,3.872983346207417,NA,NA
MAPIP,Asteraceae,Machaeranthera,Machaeranthera,pinnatifida,pinnatifida,Machaeranthera_pinnatifida,Machaeranthera_pinnatifida,p,ss/H,y,C3,f,p_f,1,10.6731,7.6364,10.3819,10.6731,11.1529,NA,31,14,31,31,26,NA,19,13.55,19.65,19,18,NA,0.2884,21.9831,0.0474,0.1455,1.7807,-29.129,2.1071,47.1598,22.8263,0.3883,0.4304,7e-4,5e-4,0.0486,0.0535,0.0959,62.419,0.2799,0.1494686661705358,3.0940131509649116,0.19791364173832116,2.970485895620774,0.1297523431792436,2.9905000606006853,0.1494686661705358,3.0940131509649116,0.15422599657324304,3.286931607159052,NA,NA
MELE2,Asteraceae,Melampodium,Melampodium,leucanthum,leucanthum,Melampodium_leucanthum,Melampodium_leucanthum,p,ss/H,y,C3,f,p_f,1,5.1165,3.7929,10.2549,5.1165,NA,NA,45,45,24,45,NA,NA,18.3,13.3,22.8,18.3,NA,NA,0.1785,28.4071,0.0353,0.6409,3.288,-29.859,2.2607,44.0012,19.7269,0.345,0.4387,6e-4,6e-4,0.048,0.0501,0.0991,76.1507,1.2414,0.0056029535898701,3.354912982985682,-0.00172807913584328,3.4544600192477626,0.01751588176915437,3.1931490490598007,0.0056029535898701,3.354912982985682,NA,NA,NA,NA
MESC,Oleaceae,Menodora,Menodora,scabra,scabra,Menodora_scabra,Menodora_scabra,p,ss/H,y,C3,f,p_f,1,10.9286,NA,10.9286,10.9286,NA,NA,25,NA,25,25,NA,NA,24.6,NA,24.6,24.6,NA,NA,0.2769,22.05,0.0457,0.5162,-0.1876,-29.6914,1.3742,48.1244,36.7689,0.3672,0.4713,5e-4,7e-4,0.0573,0.1012,0.2126,110.8479,6.191,-0.04840060259345602,2.6059373598776965,NA,NA,-0.04840060259345602,2.6059373598776965,-0.04840060259345602,2.6059373598776965,NA,NA,NA,NA
MILI3,Nyctaginaceae,Mirabilis,Mirabilis,linearis,linearis,Mirabilis_linearis,Mirabilis_linearis,p,H,y,C3,f,p_f,1,15.0429,30.4,NA,30.4,NA,13.3553,80,80,NA,80,NA,75,50.7,73.4,NA,73.4,NA,45,0.1656,14.4297,0.0695,1.7758,5.961,-28.531,4.5486,39.7172,9.2519,0.5058,0.4666,7e-4,6e-4,NA,NA,NA,NA,2.4598,0.00203701363553596,2.5814922780976426,0.04773471575785109,2.091231040698525,NA,NA,0.04773471575785109,2.091231040698525,NA,NA,-0.00653130551239812,2.673416260109977
MUAR,Poaceae,Muhlenbergia,Muhlenbergia,arenacea,arenacea,Muhlenbergia_arenacea,Muhlenbergia_arenacea,p,G,y,C4,g,p_g,1,7.2857,NA,6.5,6.5,NA,12,12,NA,8,8,NA,12,11.2,NA,7.85,7.85,NA,12,0.388,37.0398,0.027,0.3266,1.732,-14.9387,2.3078,43.6899,19.2157,0.5331,0.3347,5e-4,2e-4,0.1286,0.2816,3.5911,246.1197,NA,-0.10379572118702556,3.4756393387019116,NA,NA,-0.11759834368530024,3.2769673349491595,-0.11759834368530024,3.2769673349491595,NA,NA,-0.07619047619047623,3.872983346207416
MUAR2,Poaceae,Muhlenbergia,Muhlenbergia,arenicola,arenicola,Muhlenbergia_arenicola,Muhlenbergia_arenicola,p,G,y,C4,g,p_g,1,7.0029,6.8562,7.5291,7.0046,7.2155,4,25,19,24,25,25,4,14,13,17,14,16.4,4,0.4068,22.1902,0.0459,0.3591,-0.5015,-15.7977,1.8527,46.4744,25.1217,0.2545,0.3503,0.0021,0.0012,0.1014,0.2263,1.395,213.6779,0.1554,0.10441579799170078,2.286191363052248,0.18710715425771016,1.7293062406069797,-0.07192117653380736,3.562685871196493,0.11024180683628712,2.235004524885952,-0.03042966896359517,3.031255972547097,-0.07619047619047621,3.872983346207417
MUPA2,Poaceae,Muhlenbergia,Muhlenbergia,pauciflora,pauciflora,Muhlenbergia_pauciflora,Muhlenbergia_pauciflora,p,G,y,C4,g,p_g,1,18.5517,NA,NA,NA,NA,18.5517,34,NA,NA,NA,NA,34,30,NA,NA,NA,NA,30,0.3211,55.3549,0.0182,0.7094,-4.2121,-15.4777,1.741,46.6347,27.0045,0.4711,0.3581,0.0011,0.0013,0.056,0.2094,0.5124,252.0057,0.278,0.03275818315184779,2.9799053156149053,NA,NA,NA,NA,NA,NA,NA,NA,0.03275818315184779,2.9799053156149053
MUPO2,Poaceae,Muhlenbergia,Muhlenbergia,porteri,porteri,Muhlenbergia_porteri,Muhlenbergia_porteri,p,G,y,C4,g,p_g,1,18.8929,6.6,18.8333,18.039,NA,28.2857,49,9,49,49,NA,33,38.2,8.7,39.2,38.8,NA,32.25,0.3359,50.73,0.0199,0.3631,4.0688,-15.4417,2.2018,47.5527,22.6021,0.6096,0.3474,0.0011,0.001,0.1344,0.2435,2.7379,221.6951,0.2097,0.05761100009778854,2.9084389400986956,-0.07619047619047627,3.872983346207417,0.09878068510956232,2.611656045911397,0.07545119693622383,2.7798330192841996,NA,NA,-0.0761904761904762,3.872983346207417
MUTO2,Poaceae,Muhlenbergia,Muhlenbergia,torreyi,torreyi,Muhlenbergia_torreyi,Muhlenbergia_torreyi,p,G,y,C4,g,p_g,1,5.008,NA,NA,NA,NA,5.008,24,NA,NA,NA,NA,24,10,NA,NA,NA,NA,10,0.4841,19.6578,0.0513,0.2029,-0.8525,-16.004,1.3096,45.5268,34.98,0.3797,0.4253,NA,NA,0.0968,0.3208,2.329,385.6537,NA,0.14757520838621996,1.6082688885310124,NA,NA,NA,NA,NA,NA,NA,NA,0.14757520838621996,1.6082688885310124
"NADI",Hydrophyllaceae,Nama,Nama,dichotomum,dichotoma,Nama_dichotomum,Nama_dichotoma,a,H,y,C3,f,a_f,0,9.6771,NA,NA,NA,NA,9.6771,34,NA,NA,NA,NA,34,18,NA,NA,NA,NA,18,0.1003,75.6604,0.0141,0.1428,NA,NA,NA,NA,NA,0.2149,NA,0.0016,NA,NA,NA,NA,NA,NA,-0.07104567402822308,3.454013992393915,NA,NA,NA,NA,NA,NA,NA,NA,-0.07104567402822308,3.454013992393915
"NAHI",Hydrophyllaceae,Nama,Nama,hispidum,hispida,Nama_hispidum,Nama_hispida,a,H,y,C3,f,a_f,0,1.5,2,1.3333,1.5,NA,NA,2,2,2,2,NA,NA,2,2,1.9,2,NA,NA,0.1715,27.0983,0.0376,0.2414,2.822,-27.9272,2.7441,40.1845,14.6612,0.3773,0.3401,7e-4,6e-4,NA,NA,NA,NA,0.0449,-0.07619047619047617,3.872983346207417,NA,NA,-0.07619047619047617,3.872983346207417,-0.07619047619047617,3.872983346207417,NA,NA,NA,NA
OECA10,Onagraceae,Oenothera,Oenothera,caespitosa,caespitosa,Oenothera_caespitosa,Oenothera_caespitosa,p,ss/H,y,C3,f,p_f,1,1.0245,1.0054,NA,1.025,1.25,1,3,2,NA,3,3,1,2,1,NA,2,2.35,1,0.1424,37.3882,0.029,0.8328,4.7948,-27.9343,3.0031,41.6407,19.8386,0.2078,0.1301,2e-4,2e-4,0.0196,0.0394,0.0216,90.7057,0.258,-0.05418725735027063,3.7590769650690934,-0.04043524557514216,3.687885476857641,NA,NA,-0.05131727228415687,3.7442196110075727,-0.07619047619047618,3.872983346207417,-0.0761904761904762,3.872983346207417
PEAN,Asteraceae,Pectis,Pectis,angustifolia,angustifolia,Pectis_angustifolia,Pectis_angustifolia,a,H,y,C4,f,a_f,0,3.0499,4.1854,4,4.185,NA,2.9634,16,9,4,9,NA,16,9,8,4,8,NA,9.3,0.1288,50.2838,0.0207,0.2056,0.4814,-15.7064,1.9301,43.6891,22.7559,0.1622,0.2036,0.0011,0.0014,0.046,0.1275,0.1321,73.4016,0.1439,-0.08288742193979574,2.7370705219007214,-0.1315083907043879,2.9204296536121648,-0.07619047619047617,3.872983346207417,-0.1236058314881148,3.0565087525543433,NA,NA,-0.0790870370486193,2.7072562870397165
PEFE,Scrophulariaceae,Penstemon,Penstemon,fendleri,fendleri,Penstemon_fendleri,Penstemon_fendleri,p,H,y,C3,f,p_f,1,3.9,3.8889,3,3.8421,NA,5,7,7,3,7,NA,5,6.15,6.25,3,6.2,NA,5,0.2311,17.8569,0.0565,3.5385,-0.6085,-30.3884,1.8256,49.736,27.4622,0.3063,0.3316,4e-4,6e-4,NA,0.1193,2.4277,108.4026,0.341,0.0308947307736654,3.051652934917835,0.17363657327337714,1.4089921123386713,-0.00476190476190477,3.872983346207417,0.084437334255736185,2.640987729273044,NA,NA,-0.07619047619047617,3.872983346207417
PHCR,Hydrophyllaceae,Phacelia,Phacelia,crenulata,crenulata,Phacelia_crenulata,Phacelia_crenulata,a,H,y,C3,f,a_f,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1262,26.9815,0.0375,0.2746,2.6804,-28.1579,2.4692,44.1169,17.9212,0.1582,0.2238,2e-4,3e-4,NA,NA,NA,NA,0.6997,-0.04047619047619055,3.872983346207417,-0.01774891774891779,3.872983346207417,-0.07619047619047631,3.872983346207417,-0.04047619047619055,3.872983346207417,NA,NA,NA,NA
PLJA,Poaceae,Hilaria,Hilaria,jamesii,jamesii,Hilaria_jamesii,Hilaria_jamesii,p,G,y,C4,g,p_g,1,19.1492,18.7193,21.7507,19.1443,16.1337,19.4,54,48,54,54,37,41,37.55,34.3,44,37,31,38.15,0.3896,21.6335,0.0475,2.6018,1.5229,-14.3577,1.2327,45.3356,40.2245,0.4001,0.3725,8e-4,0.0011,0.1108,0.2088,1.4092,202.0768,NA,0.1152409766548273,2.3247981596944687,0.09433315839545488,2.12295962854705,0.1917863738555776,1.6342283960527253,0.10717742049319316,2.189519320427902,0.03994901508342738,3.0833120515394334,0.14346342322054678,2.79827409712745
PLPA2,Plantaginaceae,Plantago,Plantago,patagonica,patagonica,Plantago_patagonica,Plantago_patagonica,a,H,y,C3,f,a_f,0,1.4163,1.3585,1.933,1.4221,1.4884,1.0813,5,5,4,5,5,4,3,3,4,3,3,3.35,0.2146,22.8115,0.048,0.5423,2.0066,-28.3528,1.8764,44.8887,30.5533,0.2323,0.2341,4e-4,3e-4,0.028,0.0615,0.0246,80.0208,0.6161,-0.0556941855568733,3.6288271888475423,-0.06601990899615118,3.4680940345253566,-0.05419492884725577,3.77472649255174,-0.05681017930858426,3.614289248169917,-0.04601960160088112,3.6779820465547814,-0.04701423415467686,3.74190006078463
POHA5,Portulacaceae,Portulaca,Portulaca,halimoides,halimoides,Portulaca_halimoides,Portulaca_halimoides,a,H/su,y,C4,f,a_f,0,4.3146,NA,NA,NA,NA,4.3146,8,NA,NA,NA,NA,8,6,NA,NA,NA,NA,6,0.0419,59.9838,0.0178,0.174,5.3219,-13.8627,2.8596,43.5693,15.2363,0.1213,0.2305,7e-4,7e-4,0.0293,0.0699,0.0497,98.4714,0.0566,-0.00333657649876399,3.5772134166521665,NA,NA,NA,NA,NA,NA,NA,NA,-0.00333657649876399,3.5772134166521665
POOL,Portulacaceae,Portulaca,Portulaca,oleracea,oleracea,Portulaca_oleracea,Portulaca_oleracea,a,H/su,y,C4,f,a_f,0,2.5118,2.7346,4,2.7342,1,2.3964,14,14,5,14,1,14,8,8,4.9,8,1,8,0.0726,34.6913,0.0295,0.4222,5.6589,-12.815,1.8487,36.0817,19.8075,0.1154,0.1292,2e-4,2e-4,0.0349,0.0534,0.0348,62.0418,0.103,-0.0906570306201516,3.3249490497549563,-0.09795909855726688,3.472264777674551,-0.07619047619047623,3.8729833462074175,-0.09505661557502812,3.5256939201456,-0.0761904761904762,3.872983346207417,-0.08938791957547569,3.2670418756038093
RHTR,Anacardiaceae,Rhus,Rhus,trilobata,trilobata,Rhus_trilobata,Rhus_trilobata,p,S,y,C3,s,p_s,1,57.2959,NA,NA,NA,NA,57.2959,230,NA,NA,NA,NA,230,NA,NA,NA,NA,NA,150,0.3291,29.2949,0.0347,2.6639,-3.0421,-27.6577,1.383,49.0314,35.5745,0.4416,0.4413,5e-4,6e-4,NA,NA,NA,NA,NA,0.21785507084224773,2.1914800639446734,NA,NA,NA,NA,NA,NA,NA,NA,0.21785507084224773,2.1914800639446734
SAAB,Asteraceae,Sanvitalia,Sanvitalia,abertii,abertii,Sanvitalia_abertii,Sanvitalia_abertii,a,H,y,C3,f,a_f,0,11.6114,8.525,6.2857,10.0238,12.3514,11.7568,46,18,15,30,30,46,26,14.7,13.8,25,25.75,26.75,0.1408,59.8528,0.0173,0.3626,-1.4345,-29.1,2.2958,42.0126,18.4514,0.205,0.2073,9e-4,8e-4,0.0334,0.0781,0.0581,82.538,0.948,-0.09157824178387304,2.920289416503923,-0.06190476190476192,3.872983346207417,0.15248372730387122,3.2794857974367524,-0.02453600957911863,3.6060112455908633,-0.10813386564800026,3.2651064422035896,-0.099843722466651,2.835748369082245
SASU7,Lamiaceae,Salvia,Salvia,subincisa,subincisa,Salvia_subincisa,Salvia_subincisa,a,H,y,C3,f,a_f,0,14.2436,NA,NA,NA,NA,14.2436,45,NA,NA,NA,NA,45,34,NA,NA,NA,NA,34,0.1243,48.9083,0.0208,1.018,1.3672,-29.0317,3.738,45.9278,12.8965,0.1569,0.304,4e-4,8e-4,0.0328,0.0779,0.0731,108.6538,1.3407,-0.13907551687827857,2.801045840986918,NA,NA,NA,NA,NA,NA,NA,NA,-0.13907551687827857,2.801045840986918
SATR12,Chenopodiaceae,Salsola,Salsola,tragus,kali,Salsola_tragus,Salsola_kali,a,H,n,C4,f,a_f,0,17.9533,18.2816,NA,18.0249,15.2348,1.6667,72,72,NA,72,50,2,42,42,NA,42,36.5,1.95,0.1813,16.8128,0.0602,0.3196,6.0075,-14.3667,1.346,35.542,29.6762,0.3035,0.43,5e-4,7e-4,0.0387,0.1038,0.1239,134.0321,2.3968,-0.04719538349607834,3.1318681276261455,-0.06099056637216676,2.8919157736558563,NA,NA,-0.04652107901481328,3.1146328899847204,-0.01312995434399755,3.628595466128254,-0.07619047619047621,3.872983346207417
SCBR2,Poaceae,Scleropogon,Scleropogon,brevifolius,brevifolius,Scleropogon_brevifolius,Scleropogon_brevifolius,p,G,y,C4,g,p_g,1,5.5323,6.0504,5.3933,5.5323,6.4783,NA,16,12,14,16,16,NA,10,10,10,10,11.6,NA,0.4406,22.8122,0.0441,0.342,1.6392,-15.7133,1.9872,44.5891,22.6851,0.4359,0.3544,0.0012,0.0011,0.1087,0.2523,2.7935,282.8632,0.4316,0.00139381192284689,1.8088835430736352,-0.02745921533736449,1.1347622297812243,0.02265418807390322,1.9412155934284296,0.00139381192284689,1.8088835430736352,-0.08288890409317397,2.026073210883484,NA,NA
SCMU6,Asteraceae,Schkuhria,Schkuhria,multiflora,multiflora,Schkuhria_multiflora,Schkuhria_multiflora,a,H,y,C3,f,a_f,0,10.8133,NA,NA,NA,NA,10.8133,45,NA,NA,NA,NA,45,23,NA,NA,NA,NA,23,0.15,43.0278,0.0232,0.1549,-2.0075,-27.4946,3.3343,42.4249,12.7238,0.2905,0.2533,0.0011,0.0015,NA,NA,NA,NA,0.1852,-0.03440118896509828,2.967497515131287,NA,NA,NA,NA,NA,NA,NA,NA,-0.03440118896509828,2.967497515131287
