code,kartez,site,lf_sum_area,lf_n_pieces,lf_whole_ind,lf_wet_mass,lf_dry_mass,lf_petiole_ind,mass,d15N,d13C,pN,pC,cn,stm_wet,stm_len,stm_d1,stm_d2,rt_wet,rt_len,rt_d1,rt_d2,stm_dry1,stm_dry2,rt_dry1,rt_dry2,length,diam.95%,volume,wet,dry,seed_mass_sum,seed_n
310,SEFLF,B,1.1412,5,TRUE,0.4525,0.0514,FALSE,3.11,4.212111111111112,-29.984111111111112,2.1128728018717253,44.4055017581029,21.01664696462821,0.65,49.9,3.7,2.9,NA,NA,NA,NA,0.2142,0.214,NA,NA,NA,NA,NA,NA,NA,7.937,13
311,SPPO6,C,1.0349,5,TRUE,0.1831,0.0497,FALSE,3.287,0.3811111111111112,-28.583111111111112,1.943860769823167,46.6945814091198,24.02156683956722,0.2665,52.5,1.8,2.8,0.4629,10.6,6.3,6.9,0.0957,0.0946,0.1724,0.1723,NA,NA,NA,NA,NA,9.121,12
312,SPPO6,C,1.9432,5,TRUE,0.4074,0.1238,FALSE,3.014,-0.05988888888888888,-29.063111111111112,1.5147034726945094,45.84669128720039,30.267766670953495,0.3577,54.7,2.7,2.2,0.7016,40.6,4.3,3.8,0.1196,0.1192,0.2801,0.2798,NA,NA,NA,NA,NA,NA,NA
313,SPPO6,C,1.7417,5,TRUE,0.3172,0.0871,FALSE,3.057,1.9341111111111111,-28.673111111111112,2.330081770206655,46.776262072720705,20.074944437925076,0.4602,56,2.9,2.5,0.6644,29.9,5,3.8,0.1565,0.1565,0.235,0.2344,NA,NA,NA,NA,NA,NA,NA
314,MESC,C,0.5219,8,TRUE,0.0889,0.0241,FALSE,3.087,-0.20296249999999993,-30.443375000000003,1.8324819714118545,48.24904486862996,26.3298878904964,0.1584,39.6,1.9,1.9,0.4654,34.2,3.3,4.3,0.0542,0.053900000000000003,0.2193,0.2193,NA,NA,NA,NA,NA,7.442,1
315,MESC,C,0.465,8,TRUE,0.0837,0.0244,FALSE,3.227,-0.6419625,-28.654375,1.1343354366717981,49.35433386482069,43.50947018778589,0.2958,19.1,3.9,3.4,0.3888,11.6,5.5,5.8,0.126,0.1248,0.1943,0.1937,NA,NA,NA,NA,NA,17.322,3
316,MESC,C,0.45430000000000004,8,TRUE,0.0742,0.0204,FALSE,NA,NA,NA,NA,NA,NA,0.1201,35.1,2,1.6,0.3494,55,2.4,1.7,0.0473,0.0468,0.1662,0.166,NA,NA,NA,NA,NA,NA,NA
317,MESC,C,0.719,8,TRUE,0.10780000000000001,0.0289,FALSE,3.001,0.2820375000000001,-29.976374999999997,1.1557414043481724,46.76985336744038,40.467403167768445,0.0938,23.1,2,1.8,0.1347,48.4,1.1,1.9,0.0318,0.0311,0.0589,0.0589,NA,NA,NA,NA,NA,NA,NA
318,MESC,C,0.4209,8,TRUE,0.0674,0.0188,FALSE,NA,NA,NA,NA,NA,NA,0.0312,18.5,1.1,1.2,0.1613,48.5,1.2,1.8,0.0111,0.011,0.077,0.0766,NA,NA,NA,NA,NA,NA,NA
319,IPCO2,B,1.1596,5,TRUE,0.2054,0.0305,FALSE,3.278,3.0594375000000005,-27.416375000000002,3.347469960385033,48.00287802852087,14.340047437796716,0.0401,42.3,0.7,0.5,0.08,25.8,1.6,1.5,0.0114,0.0109,0.0202,0.02,NA,NA,NA,NA,NA,NA,NA
