node,a_p,area,avg.height_A,avg.height_B,avg.height_C,avg.height_F,avg.height_G,avg.height_P,max.height_A,max.height_B,max.height_C,max.height_F,max.height_G,max.height_P,p95.height_A,p95.height_B,p95.height_C,p95.height_F,p95.height_G,p95.height_P,cn,d13C,d15N,pN,pC,fr.dens,fr.diam,fr.dmc,fr.srl,ldmc,lma,sla,rdens,rdmc,sdens,sdmc,seed_mass,F_A_BM_acor,F_B_BM_acor,F_C_BM_acor,F_F_BM_acor,F_G_BM_acor,F_P_BM_acor,F_A_BM_cv,F_B_BM_cv,F_C_BM_cv,F_F_BM_cv,F_G_BM_cv,F_P_BM_cv
node 001,0.34827285700786964,0.057721658475575165,10.633213029337764,NA,NA,10.595325804445816,8.112548076901305,NA,-4.8731254384012574,NA,NA,-1.1606155998103613,3.3414628352584845,NA,9.0870042393918,NA,NA,8.478026009820745,9.928059729065405,NA,13.278540182503626,-1.433993547536536,0.43465105890338235,-0.7997474298462623,2.7391077011267635,NA,NA,NA,NA,0.20914563780265216,NA,-27.582413164911102,NA,NA,-1.0054175243797777e-4,0.19178399323364487,3.08903913861595,0.29812768100366643,0.014867936786177205,NA,0.28072716775473394,0.5652518467895281,NA,-0.7117301892231563,0.8016420435484052,NA,-0.7452978588174493,-2.5043036333420905,NA
node 002,0.38301999342241283,0.12591361645452498,3.0166217269052846,3.9462488680877463,8.121937590151111,7.633739291861683,4.8165153876678355,6.127794175559044,7.552276314864787,5.227581907876628,14.846965242634123,16.078448836186524,12.093726126914357,-9.286987108669617,9.69550833268282,4.332205965372734,12.99395950298285,9.400155610332927,6.72350376179567,2.815978485159007,14.493000675821419,12.659465101384768,-1.7499974214558207,-1.1695112263475491,0.40565509048181836,130.52556723916814,0.0401298564612722,0.14361930560039987,1.1248113479805566,0.28725191001851325,-3.5739978988675295e-4,1.014301985513468,0.0011840932027270756,0.04186303678801334,0.0012193664848275296,0.15787043549226346,-1.4828017015278547,0.08852053261885838,0.030832212674716118,0.021350285521093144,0.0029609911812975846,0.13459689351788176,0.005721862277969223,-0.6767253073643358,-0.9611707069200308,-0.021353481345717528,-0.8756951291007051,-1.3849082098725778,-0.07371535805107793
node 003,0.21947451346629457,0.8570862099117288,-5.5295915487623555,9.148989219598867,18.059360650379627,16.563429839246343,NA,-7.679176006508007,7.613274859391442,-9.976093528202451,19.227308703162045,8.290196237287963,NA,4.818807814969203,8.758760762087732,-1.510345415856637,22.392308677492057,19.35045124043069,NA,9.11383581836911,3.8320551519110047,-15.698890332038822,1.1780865267191287,-0.2486668621868552,1.6490135949365872,NA,NA,NA,NA,-0.0411651364748126,0.018263618165638238,-13.978093208832954,-9.681254170801361e-4,0.019639915307779192,2.343639930164811e-4,-0.029283802847292945,1.530026767247817,-0.07439341390456836,-0.10811868031860537,-0.07096385612742807,-0.07519178951981668,NA,-0.0016636300862559554,0.3538422452588726,1.3995297371152493,0.18415787777014792,0.6912048578203877,NA,-0.09552070616400589
node 004,-0.46042463881222745,-0.13071451183586197,2.770927488773766,5.888265804272576,0.8272470985129005,3.577636835495959,-1.254669362846696,-3.9750900596413543,-2.4345104346575472,15.30310567218827,-1.8485638581999984,-0.6568829486232052,-13.729483685577273,-17.700394028083817,3.541378893016776,10.861495734301641,-0.18865082857847618,5.114633769600193,0.18099924668206235,-8.808259318554052,3.8422515710743994,0.6595691790655435,1.9118512282962274,-0.3418752259567554,-0.2479711088282415,-43.210903216631124,-0.03705262555427042,-0.019330387374662434,-1.0443698080509056,0.008952951031614365,0.015690642723634,-7.710426997117825,9.162590459484962e-5,0.006220597212030702,1.897214895757981e-4,-0.08222833294340379,1.4038532380179864,-0.0021049201358436776,0.015085093543659668,0.017528545104059014,0.01955467920392793,0.2236903359169585,0.0014529616021711905,0.7774173896303699,0.8719048168380643,-0.17176641656547986,0.7911179224450451,0.10536012145055293,0.38067886724125216
node 005,1.1206887238456493,0.10343956921095349,1.8797311965063084,2.08548964620437,3.6393829743801156,1.626741786899743,3.170911521110565,3.776116879637749,-12.327575962302141,-13.448264686147791,10.682336348252669,-9.792141652564945,15.68964213383909,6.231362869814056,-1.3352920435315836,-1.1572531043940397,1.3352920435315836,-0.6676460217657918,15.942757698713242,5.7417557871858085,8.626253659622733,1.470679812302646,-1.8946013708321798,-0.3389861401178847,0.972626724508403,NA,NA,NA,NA,0.04335248167999205,0.06151364917379622,-23.48698587049444,-3.560778782750891e-4,-0.04973691090678124,-0.0010682336348252668,0.21355770749548458,1.5356797582856931,0.16027102678499816,0.12418070910607105,0.13416955524260885,0.1681712806068026,NA,0.08565410425014483,-0.8193460251749289,-0.7536274422872691,-1.384297291770981,-0.9219171161798033,NA,-0.4183252144697608
node 006,0.17301971213460524,1.5456005032876523,9.091903628432933,4.815362442987923,2.2728784970042675,8.787838483441384,7.421159382053064,3.3392240127538386,33.47876117890464,-2.9066410197788017,8.811344838865766,31.980763764020672,38.65213742385536,-13.411882454632034,16.616882925613048,3.5788139739582294,6.834707179218677,17.714318637481274,21.108365552005797,-4.785423237412679,-1.8170111022949795,0.06250099217108371,1.9334906843204585,-0.022347442741105727,0.624143880972582,NA,NA,NA,NA,-0.03410098858491964,0.007511867260197756,-9.832662908663483,-3.1433391057208116e-5,0.014898928508876988,-5.194227262666881e-4,0.14839450334964063,-0.236007588059769,0.09515894777928957,0.12132509598890533,0.035966839862033806,0.14192688766954198,0.32631504249533233,0.009616386074181912,-0.12756587071690373,-0.03684102717791068,-0.06787866059846658,-0.14813069186124708,-1.2127736520231367,-0.0997111594373123
node 007,-0.5494003180389753,-0.33418737032348916,-4.188603007448384,-1.2156990970525579,-2.977147315238214,-2.6152287808298276,0.6366342395903207,-1.2282546164877406,-6.920473583555473,9.555553499592007,-17.032132878126845,-5.188344565175261,-6.464455499124382,-17.012930315444237,-1.0241381286291287,5.891915575103559,-8.797311940765596,1.6752916105081743,2.4315717821895415,-4.932393284968834,-6.347660999677007,0.7280813120973626,3.790343939056159,0.5121627597861778,0.4236728833588377,-142.7925880925577,-0.05177585738044339,-0.15343902426115671,-1.6317116778713885,-0.11543900977353733,-0.018728417959486137,26.76284363303119,-4.702945069499599e-5,-0.026432289516467537,-1.5817365322868184e-4,-0.18684452064737717,0.21151164148596882,-0.19898049939874202,-0.1482496916765925,-0.05017535930893269,-0.10819652545982127,-0.09949782139605326,-0.08398382013396012,1.2042172071094301,1.1784311461730617,0.7781676135191212,1.2998060921288332,0.9277428454491675,0.6478465916212436
node 008,1.1206887238456493,-0.08113786360642503,0.4556720351156411,-1.640688291710031,NA,-0.7437576682470926,NA,14.897141173925327,-6.7241323430738955,-6.7241323430738955,NA,-5.341168174126334,NA,0,-2.8931327609850976,-5.697246052401422,NA,-5.519207113263878,NA,1.6023504522379008,16.34255030131348,1.2873351370814972,-1.780300371905876,-1.260782747502521,0.3946233085983679,18.76638095628494,-2.241377447691285e-4,-0.03328445509821577,0.012439644834686705,0.12765391936161935,0.02003426188687859,-27.246189050914122,1.7803893913754455e-4,-0.1641618628524672,-1.7803893913754436e-4,0.25058980683609383,-0.5017323416656971,-0.007583522994379154,-0.022442438384919928,NA,-0.007833240100854365,NA,0.011016775460562253,-0.0774276330313862,-0.2798440617363464,NA,-0.0341254679115375,NA,0.12259680527769136
node 009,-0.18181831282092867,0.6393942674651439,-1.7232350839621633,3.1522323669095544,-2.1187425574354344,-1.505592084756215,0.8730682541940711,-0.7188655883347711,13.022392520669513,18.51660924533227,4.333807220195508,17.520877277426326,8.441824418953376,23.834289233568573,1.1931717532670036,10.02596669783754,-1.2550705837902896,-0.29948960937893176,4.008264204095902,13.322720044102386,15.171765979642155,0.2988435368557937,1.473517190611392,-0.813274425031695,-4.113044868321652,-77.76190453844738,-0.03937491864225596,-0.08780433726389589,-1.4261868663483943,0.002260839754415586,0.008990242811624135,-13.975324508372681,6.631915420900386e-4,-0.0276352003151951,4.839428883179974e-5,-0.07001158021228629,0.19824784343410576,-0.02360970809255664,1.1376237822007303e-4,0.047320185300751674,0.0179111221021905,0.06828358670836933,0.04048479481315076,-0.6143786406644967,-1.1402731420181724,-0.8562384892616665,-1.1763156789762306,-0.6685799164683168,-0.4541473170132475
node 010,0.23078089061095894,1.1744639980325697,4.749938113652721,6.266762604795507,8.105427371690293,5.442511131039863,2.0520494113599166,9.032409329364532,-10.225200832454451,3.1451747530879506,7.263502817338192,-9.184331641477302,-12.621219006163136,-0.500897847479188,3.2383660280953643,5.876912280349321,12.671003216129288,6.602559249945495,2.9841024128254277,13.831146203764796,-6.881016404893934,0.7278569412870453,1.9447215147880106,0.45251302228339324,2.9031467763229353,83.56359769015127,0.06784949241647678,0.08516236594578368,2.1761525160861175,0.043902303304354,0.013983324202548945,-8.943471968601578,-7.630269874268826e-4,0.029806327497145763,-5.92547630398428e-4,0.06669697101131647,0.15945333185151767,0.010962556079860557,-0.042923161357276335,0.07167447444824564,-0.018816155240446084,-0.11383025736389739,0.04293502875618044,-0.22427398540704824,-0.4634854976541468,-0.408776805100963,0.18998617024505945,0.3950979351781314,0.18438377130576203
