"kartez","family","genus.old","genus.new","species.old","species.new","taxon.old","taxon.new","life_cycle","life_form","native","path","a_p","g_f","apgf","avg.height_A","avg.height_B","avg.height_C","avg.height_F","avg.height_G","avg.height_P","max.height_A","max.height_B","max.height_C","max.height_F","max.height_G","max.height_P","p95.height_A","p95.height_B","p95.height_C","p95.height_F","p95.height_G","p95.height_P","ldmc","sla","lma","area","d15N","d13C","pN","pC","cn","sdmc","rdmc","sdens","rdens","fr.diam","fr.dmc","fr.srl","fr.dens","seed_mass"
"LEPI3","Brassicaceae","Physaria","Physaria","pinetorum","pinetorum","Physaria_pinetorum","Physaria_pinetorum","p","H","y","C3","p","f","p_f",2.1191,NA,NA,NA,NA,2.1191,12,NA,NA,NA,NA,12,5,NA,NA,NA,NA,5,0.2102,19.1919,0.053,1.2471,0.1794,-27.86,2.6186,39.4855,16.1136,0.2007,0.213,5e-04,4e-04,0.0441,0.0479,0.0564,46.7047,NA
"LIPU4","Linaceae","Linum","Linum","puberulum","puberulum","Linum_puberulum","Linum_puberulum","a","H","y","C3","a","f","a_f",7,4.75,9.75,7,9.9737,NA,25,16,25,25,22,NA,19.7,14.35,22.9,19.7,20.75,NA,0.2541,14.2682,0.0708,0.1601,-1.159,-26.8287,1.4107,46.2466,32.9237,0.3743,0.3772,5e-04,5e-04,0.0294,0.07,0.0746,119.9348,0.6663
"LYPH","Poaceae","Lycurus","Lycurus","phleoides","phleoides","Lycurus_phleoides","Lycurus_phleoides","p","G","y","C4","p","g","p_g",11.2152,NA,NA,NA,NA,11.2152,49,NA,NA,NA,NA,49,25.7,NA,NA,NA,NA,25.7,0.3823,35.7937,0.0284,0.6721,-2.986,-15.9284,1.856,45.5709,24.669,0.3223,0.2888,0.0015,0.0017,0.0855,0.1729,0.9087,163.7669,0.1171
"MAGR10","Asteraceae","Machaeranthera","Machaeranthera","gracilis","gracilis","Machaeranthera_gracilis","Machaeranthera_gracilis","a","H","y","C3","a","f","a_f",14.6667,NA,17.5,14.6667,9,NA,29,NA,29,29,13,NA,26.75,NA,27.65,26.75,12.6,NA,0.2276,28.4637,0.0352,0.261,3.9347,-30.8144,1.6457,41.5494,25.687,0.3373,0.3912,5e-04,6e-04,0.0426,0.0448,0.0485,46.8022,0.2685
"MAPIP","Asteraceae","Machaeranthera","Machaeranthera","pinnatifida","pinnatifida","Machaeranthera_pinnatifida","Machaeranthera_pinnatifida","p","ss/H","y","C3","p","f","p_f",10.6731,7.6364,10.3819,10.6731,11.1529,NA,31,14,31,31,26,NA,19,13.55,19.65,19,18,NA,0.2884,21.9831,0.0474,0.1455,1.7807,-29.129,2.1071,47.1598,22.8263,0.3883,0.4304,7e-04,5e-04,0.0486,0.0535,0.0959,62.419,0.2799
"MELE2","Asteraceae","Melampodium","Melampodium","leucanthum","leucanthum","Melampodium_leucanthum","Melampodium_leucanthum","p","ss/H","y","C3","p","f","p_f",5.1165,3.7929,10.2549,5.1165,NA,NA,45,45,24,45,NA,NA,18.3,13.3,22.8,18.3,NA,NA,0.1785,28.4071,0.0353,0.6409,3.288,-29.859,2.2607,44.0012,19.7269,0.345,0.4387,6e-04,6e-04,0.048,0.0501,0.0991,76.1507,1.2414
"MESC","Oleaceae","Menodora","Menodora","scabra","scabra","Menodora_scabra","Menodora_scabra","p","ss/H","y","C3","p","f","p_f",10.9286,NA,10.9286,10.9286,NA,NA,25,NA,25,25,NA,NA,24.6,NA,24.6,24.6,NA,NA,0.2769,22.05,0.0457,0.5162,-0.1876,-29.6914,1.3742,48.1244,36.7689,0.3672,0.4713,5e-04,7e-04,0.0573,0.1012,0.2126,110.8479,6.191
"MILI3","Nyctaginaceae","Mirabilis","Mirabilis","linearis","linearis","Mirabilis_linearis","Mirabilis_linearis","p","H","y","C3","p","f","p_f",15.0429,30.4,NA,30.4,NA,13.3553,80,80,NA,80,NA,75,50.7,73.4,NA,73.4,NA,45,0.1656,14.4297,0.0695,1.7758,5.961,-28.531,4.5486,39.7172,9.2519,0.5058,0.4666,7e-04,6e-04,NA,NA,NA,NA,2.4598
"MUAR","Poaceae","Muhlenbergia","Muhlenbergia","arenacea","arenacea","Muhlenbergia_arenacea","Muhlenbergia_arenacea","p","G","y","C4","p","g","p_g",7.2857,NA,6.5,6.5,NA,12,12,NA,8,8,NA,12,11.2,NA,7.85,7.85,NA,12,0.388,37.0398,0.027,0.3266,1.732,-14.9387,2.3078,43.6899,19.2157,0.5331,0.3347,5e-04,2e-04,0.1286,0.2816,3.5911,246.1197,NA
"MUAR2","Poaceae","Muhlenbergia","Muhlenbergia","arenicola","arenicola","Muhlenbergia_arenicola","Muhlenbergia_arenicola","p","G","y","C4","p","g","p_g",7.0029,6.8562,7.5291,7.0046,7.2155,4,25,19,24,25,25,4,14,13,17,14,16.4,4,0.4068,22.1902,0.0459,0.3591,-0.5015,-15.7977,1.8527,46.4744,25.1217,0.2545,0.3503,0.0021,0.0012,0.1014,0.2263,1.395,213.6779,0.1554
"MUPA2","Poaceae","Muhlenbergia","Muhlenbergia","pauciflora","pauciflora","Muhlenbergia_pauciflora","Muhlenbergia_pauciflora","p","G","y","C4","p","g","p_g",18.5517,NA,NA,NA,NA,18.5517,34,NA,NA,NA,NA,34,30,NA,NA,NA,NA,30,0.3211,55.3549,0.0182,0.7094,-4.2121,-15.4777,1.741,46.6347,27.0045,0.4711,0.3581,0.0011,0.0013,0.056,0.2094,0.5124,252.0057,0.278
"MUPO2","Poaceae","Muhlenbergia","Muhlenbergia","porteri","porteri","Muhlenbergia_porteri","Muhlenbergia_porteri","p","G","y","C4","p","g","p_g",18.8929,6.6,18.8333,18.039,NA,28.2857,49,9,49,49,NA,33,38.2,8.7,39.2,38.8,NA,32.25,0.3359,50.73,0.0199,0.3631,4.0688,-15.4417,2.2018,47.5527,22.6021,0.6096,0.3474,0.0011,0.001,0.1344,0.2435,2.7379,221.6951,0.2097
"MUTO2","Poaceae","Muhlenbergia","Muhlenbergia","torreyi","torreyi","Muhlenbergia_torreyi","Muhlenbergia_torreyi","p","G","y","C4","p","g","p_g",5.008,NA,NA,NA,NA,5.008,24,NA,NA,NA,NA,24,10,NA,NA,NA,NA,10,0.4841,19.6578,0.0513,0.2029,-0.8525,-16.004,1.3096,45.5268,34.98,0.3797,0.4253,0.0031,0.0032,0.0968,0.3208,2.329,385.6537,NA
"NADI","Hydrophyllaceae","Nama","Nama","dichotomum","dichotoma","Nama_dichotomum","Nama_dichotoma","a","H","y","C3","a","f","a_f",9.6771,NA,NA,NA,NA,9.6771,34,NA,NA,NA,NA,34,18,NA,NA,NA,NA,18,0.1003,75.6604,0.0141,0.1428,NA,NA,NA,NA,NA,0.2149,NA,0.0016,NA,NA,NA,NA,NA,NA
"NAHI","Hydrophyllaceae","Nama","Nama","hispidum","hispida","Nama_hispidum","Nama_hispida","a","H","y","C3","a","f","a_f",1.5,2,1.3333,1.5,NA,NA,2,2,2,2,NA,NA,2,2,1.9,2,NA,NA,0.1715,27.0983,0.0376,0.2414,2.822,-27.9272,2.7441,40.1845,14.6612,0.3773,0.3401,7e-04,6e-04,NA,NA,NA,NA,0.0449
"OECA10","Onagraceae","Oenothera","Oenothera","caespitosa","caespitosa","Oenothera_caespitosa","Oenothera_caespitosa","p","ss/H","y","C3","p","f","p_f",1.0245,1.0054,NA,1.025,1.25,1,3,2,NA,3,3,1,2,1,NA,2,2.35,1,0.1424,37.3882,0.029,0.8328,4.7948,-27.9343,3.0031,41.6407,19.8386,0.2078,0.1301,2e-04,2e-04,0.0196,0.0394,0.0216,90.7057,0.258
"PEAN","Asteraceae","Pectis","Pectis","angustifolia","angustifolia","Pectis_angustifolia","Pectis_angustifolia","a","H","y","C4","a","f","a_f",3.0499,4.1854,4,4.185,NA,2.9634,16,9,4,9,NA,16,9,8,4,8,NA,9.3,0.1288,50.2838,0.0207,0.2056,0.4814,-15.7064,1.9301,43.6891,22.7559,0.1622,0.2036,0.0011,0.0014,0.046,0.1275,0.1321,73.4016,0.1439
"PEFE","Scrophulariaceae","Penstemon","Penstemon","fendleri","fendleri","Penstemon_fendleri","Penstemon_fendleri","p","H","y","C3","p","f","p_f",3.9,3.8889,3,3.8421,NA,5,7,7,3,7,NA,5,6.15,6.25,3,6.2,NA,5,0.2311,17.8569,0.0565,3.5385,-0.6085,-30.3884,1.8256,49.736,27.4622,0.3063,0.3316,4e-04,6e-04,0.1801,0.1193,2.4277,108.4026,0.341
"PHCR","Hydrophyllaceae","Phacelia","Phacelia","crenulata","crenulata","Phacelia_crenulata","Phacelia_crenulata","a","H","y","C3","a","f","a_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1262,26.9815,0.0375,0.2746,2.6804,-28.1579,2.4692,44.1169,17.9212,0.1582,0.2238,2e-04,3e-04,NA,NA,NA,NA,0.6997
"PLJA","Poaceae","Hilaria","Hilaria","jamesii","jamesii","Hilaria_jamesii","Hilaria_jamesii","p","G","y","C4","p","g","p_g",19.1492,18.7193,21.7507,19.1443,16.1337,19.4,54,48,54,54,37,41,37.55,34.3,44,37,31,38.15,0.3896,21.6335,0.0475,2.6018,1.5229,-14.3577,1.2327,45.3356,40.2245,0.4001,0.3725,8e-04,0.0011,0.1108,0.2088,1.4092,202.0768,NA
"PLPA2","Plantaginaceae","Plantago","Plantago","patagonica","patagonica","Plantago_patagonica","Plantago_patagonica","a","H","y","C3","a","f","a_f",1.4163,1.3585,1.933,1.4221,1.4884,1.0813,5,5,4,5,5,4,3,3,4,3,3,3.35,0.2146,22.8115,0.048,0.5423,2.0066,-28.3528,1.8764,44.8887,30.5533,0.2323,0.2341,4e-04,3e-04,0.028,0.0615,0.0246,80.0208,0.6161
"POHA5","Portulacaceae","Portulaca","Portulaca","halimoides","halimoides","Portulaca_halimoides","Portulaca_halimoides","a","H/su","y","C4","a","f","a_f",4.3146,NA,NA,NA,NA,4.3146,8,NA,NA,NA,NA,8,6,NA,NA,NA,NA,6,0.0419,59.9838,0.0178,0.174,5.3219,-13.8627,2.8596,43.5693,15.2363,0.1213,0.2305,7e-04,7e-04,0.0293,0.0699,0.0497,98.4714,0.0566
"POOL","Portulacaceae","Portulaca","Portulaca","oleracea","oleracea","Portulaca_oleracea","Portulaca_oleracea","a","H/su","y","C4","a","f","a_f",2.5118,2.7346,4,2.7342,1,2.3964,14,14,5,14,1,14,8,8,4.9,8,1,8,0.0726,34.6913,0.0295,0.4222,5.6589,-12.815,1.8487,36.0817,19.8075,0.1154,0.1292,2e-04,2e-04,0.0349,0.0534,0.0348,62.0418,0.103
"RHTR","Anacardiaceae","Rhus","Rhus","trilobata","trilobata","Rhus_trilobata","Rhus_trilobata","p","S","y","C3","p","s","p_s",57.2959,NA,NA,NA,NA,57.2959,230,NA,NA,NA,NA,230,150,NA,NA,NA,NA,150,0.3291,29.2949,0.0347,2.6639,-3.0421,-27.6577,1.383,49.0314,35.5745,0.4416,0.4413,5e-04,6e-04,NA,NA,NA,NA,NA
"SAAB","Asteraceae","Sanvitalia","Sanvitalia","abertii","abertii","Sanvitalia_abertii","Sanvitalia_abertii","a","H","y","C3","a","f","a_f",11.6114,8.525,6.2857,10.0238,12.3514,11.7568,46,18,15,30,30,46,26,14.7,13.8,25,25.75,26.75,0.1408,59.8528,0.0173,0.3626,-1.4345,-29.1,2.2958,42.0126,18.4514,0.205,0.2073,9e-04,8e-04,0.0334,0.0781,0.0581,82.538,0.948
"SASU7","Lamiaceae","Salvia","Salvia","subincisa","subincisa","Salvia_subincisa","Salvia_subincisa","a","H","y","C3","a","f","a_f",14.2436,NA,NA,NA,NA,14.2436,45,NA,NA,NA,NA,45,34,NA,NA,NA,NA,34,0.1243,48.9083,0.0208,1.018,1.3672,-29.0317,3.738,45.9278,12.8965,0.1569,0.304,4e-04,8e-04,0.0328,0.0779,0.0731,108.6538,1.3407
"SATR12","Chenopodiaceae","Salsola","Salsola","tragus","kali","Salsola_tragus","Salsola_kali","a","H","n","C4","a","f","a_f",17.9533,18.2816,NA,18.0249,15.2348,1.6667,72,72,NA,72,50,2,42,42,NA,42,36.5,1.95,0.1813,16.8128,0.0602,0.3196,6.0075,-14.3667,1.346,35.542,29.6762,0.3035,0.43,5e-04,7e-04,0.0387,0.1038,0.1239,134.0321,2.3968
"SCBR2","Poaceae","Scleropogon","Scleropogon","brevifolius","brevifolius","Scleropogon_brevifolius","Scleropogon_brevifolius","p","G","y","C4","p","g","p_g",5.5323,6.0504,5.3933,5.5323,6.4783,NA,16,12,14,16,16,NA,10,10,10,10,11.6,NA,0.4406,22.8122,0.0441,0.342,1.6392,-15.7133,1.9872,44.5891,22.6851,0.4359,0.3544,0.0012,0.0011,0.1087,0.2523,2.7935,282.8632,0.4316
"SCMU6","Asteraceae","Schkuhria","Schkuhria","multiflora","multiflora","Schkuhria_multiflora","Schkuhria_multiflora","a","H","y","C3","a","f","a_f",10.8133,NA,NA,NA,NA,10.8133,45,NA,NA,NA,NA,45,23,NA,NA,NA,NA,23,0.15,43.0278,0.0232,0.1549,-2.0075,-27.4946,3.3343,42.4249,12.7238,0.2905,0.2533,0.0011,0.0015,NA,NA,NA,NA,0.1852
"SEBA3","Fabaceae","Senna","Senna","bauhinioides","bauhinioides","Senna_bauhinioides","Senna_bauhinioides","p","ss/H","y","C3","p","f","p_f",3.0761,3.0761,NA,3.0761,NA,NA,10,10,NA,10,NA,NA,8.4,8.4,NA,8.4,NA,NA,0.2244,22.162,0.0465,1.4709,1.4675,-28.3703,1.9689,43.0253,23.2058,0.3884,0.4201,6e-04,6e-04,0.0313,0.0502,0.0789,183.0963,4.1761
"SEDI3","Nyctaginaceae","Selinocarpus","Acleisanthes","diffusus","diffusa","Selinocarpus_diffusus","Acleisanthes_diffusa","p","S/ss/H","y","C3","p","s","p_s",7.1304,11.125,5.6667,7.2273,1,5,16,16,14,16,1,5,15,15.7,12.9,15.05,1,5,0.1203,23.4874,0.0427,0.7668,3.8129,-25.8035,2.441,40.0536,16.414,0.3148,0.3869,7e-04,6e-04,0.0591,0.1874,0.1528,174.3032,5.253
"SEFLF","Asteraceae","Senecio","Senecio","flaccidus","flaccidus","Senecio_flaccidus","Senecio_flaccidus","p","ss/H","y","C3","p","f","p_f",19.9762,19.9762,NA,19.9762,NA,NA,40,40,NA,40,NA,NA,37,37,NA,37,NA,NA,0.1445,20.3011,0.0496,0.6417,4.5532,-29.7244,2.427,42.884,17.797,0.3285,0.3742,5e-04,5e-04,0.0732,0.0357,0.1076,34.5277,0.8199
"SOEL","Solanaceae","Solanum","Solanum","elaeagnifolium","elaeagnifolium","Solanum_elaeagnifolium","Solanum_elaeagnifolium","p","ss/H","y","C3","p","f","p_f",13.7006,13.7285,8.8889,13.343,20.6667,13.9064,40,40,25,40,30,39,30,30,21.8,30,29.8,31.55,0.2488,18.2492,0.0549,2.7361,2.4836,-28.2821,2.3131,46.1896,20.0384,0.2862,0.3125,4e-04,4e-04,0.0621,0.0684,0.1568,64.4447,2.7887
"SPCO4","Poaceae","Sporobolus","Sporobolus","contractus","contractus","Sporobolus_contractus","Sporobolus_contractus","p","G","y","C4","p","g","p_g",19.2885,16.6667,13.8147,19.2901,21.0634,17,88,28,52,88,88,17,40,26.7,35,40,40,17,0.3188,26.5013,0.038,2.5364,4.4914,-15.0594,1.7749,45.4247,26.5675,0.4365,0.3506,7e-04,0.0013,0.1354,0.184,1.3702,115.7614,0.0693
"SPCOC","Malvaceae","Sphaeralcea","Sphaeralcea","coccinea","coccinea","Sphaeralcea_coccinea","Sphaeralcea_coccinea","bp","ss/H","y","C3","p","f","p_f",3.5455,NA,NA,NA,NA,3.5455,6,NA,NA,NA,NA,6,6,NA,NA,NA,NA,6,0.2477,19.5526,0.0515,0.4699,-0.6019,-27.2951,0.9563,44.544,47.2282,0.2366,0.2607,9e-04,7e-04,NA,NA,NA,NA,NA
"SPFL2","Poaceae","Sporobolus","Sporobolus","flexuosus","flexuosus","Sporobolus_flexuosus","Sporobolus_flexuosus","p","G","y","C4","p","g","p_g",16.462,8.25,9.6667,16.4795,16.8448,14.3333,43,17,18,43,43,19,35,15.25,17.25,35,35,18.3,0.3618,24.5109,0.0409,1.4667,0.4091,-15.6061,1.485,44.8195,30.3873,0.5973,0.362,9e-04,0.0013,NA,NA,NA,NA,0.1045
"SPHA","Malvaceae","Sphaeralcea","Sphaeralcea","hastulata","hastulata","Sphaeralcea_hastulata","Sphaeralcea_hastulata","p","ss/H","y","C3","p","f","p_f",9.7689,9.6275,13,9.7689,13.6,NA,32,29,32,32,16,NA,23.45,22.85,29.4,23.45,15.6,NA,0.2272,21.7714,0.0464,1.4445,5.1484,-29.8164,2.31,44.8373,19.711,0.3619,0.374,6e-04,4e-04,0.0458,0.0531,0.1052,97.2982,0.8867
"SPPO6","Malvaceae","Sphaeralcea","Sphaeralcea","polychroma","polychroma","Sphaeralcea_polychroma","Sphaeralcea_polychroma","p","ss/H","y","C3","p","f","p_f",11.4367,2.1667,8.2126,10.8669,14.5494,12.8789,131,18,47,88,88,131,41,7.7,36,40.7,43,46,0.2322,23.4553,0.0449,1.5978,0.7518,-28.7731,1.9295,46.4392,24.7881,0.3278,0.3566,5e-04,5e-04,0.0396,0.0813,0.0941,127.8853,0.8335
"STPA4","Asteraceae","Stephanomeria","Stephanomeria","pauciflora","pauciflora","Stephanomeria_pauciflora","Stephanomeria_pauciflora","p","ss/H","y","C3","p","f","p_f",18.1538,18.1842,NA,18.1538,17,NA,36,36,NA,36,17,NA,33.15,33.2,NA,33.15,17,NA,0.1706,25.7269,0.0397,0.6529,2.8412,-27.9474,2.7742,47.7939,17.4312,0.2577,0.2857,3e-04,4e-04,NA,NA,NA,NA,0.8113
"TECO","Verbenaceae","Tetraclea","Clerodendrum","coulteri","coulteri","Tetraclea_coulteri","Clerodendrum_coulteri","p","ss/H","y","C3","p","f","p_f",5.0941,5.119,3,5.0941,NA,NA,24,24,3,24,NA,NA,18,18,3,18,NA,NA,0.2257,19.3182,0.052,0.8524,2.235,-28.0338,2.8312,47.7744,17.5475,0.2632,0.2665,4e-04,4e-04,0.0504,0.0641,0.1483,105.5607,7.6221
"THAC","Asteraceae","Thymophylla","Thymophylla","acerosa","acerosa","Thymophylla_acerosa","Thymophylla_acerosa","p","ss/H","y","C3","p","f","p_f",6.3564,NA,6.364,6.3564,2,NA,43,NA,43,43,2,NA,14,NA,14,14,2,NA,0.2353,25.1335,0.0403,0.1376,1.5988,-27.8307,1.2417,47.0661,44.2319,0.3969,0.4307,6e-04,6e-04,0.0712,0.1426,0.4936,155.02,0.2955
"THME","Asteraceae","Thelesperma","Thelesperma","megapotamicum","megapotamicum","Thelesperma_megapotamicum","Thelesperma_megapotamicum","p","H","y","C3","p","f","p_f",10,5,15,10,NA,NA,15,5,15,15,NA,NA,14.5,5,15,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TILA2","Amaranthaceae","Tidestromia","Tidestromia","lanuginosa","lanuginosa","Tidestromia_lanuginosa","Tidestromia_lanuginosa","a","H","y","C4","a","f","a_f",5.3358,NA,4.05,5.3358,5.3746,NA,26,NA,8,26,26,NA,13.85,NA,8,13.85,14.5,NA,0.2513,26.5032,0.0385,0.3787,5.3673,-14.6051,2.7086,40.2891,15.0792,0.1776,0.2693,3e-04,5e-04,0.0369,0.057,0.0438,78.4636,0.1349
"ZIGR","Asteraceae","Zinnia","Zinnia","grandiflora","grandiflora","Zinnia_grandiflora","Zinnia_grandiflora","p","S/ss/H","y","C3","p","s","p_s",6.65,6.875,NA,6.875,NA,5.75,15,15,NA,15,NA,7,12.5,13.3,NA,13.3,NA,7,0.2973,20.3248,0.05,0.3343,1.5124,-28.7231,1.8518,44.7356,24.8326,0.2934,0.3769,5e-04,5e-04,0.0825,0.0732,0.3103,81.4469,2.3737
