"kartez","family","genus.old","genus.new","species.old","species.new","taxon.old","taxon.new","life_cycle","life_form","native","path","a_p","g_f","apgf","avg.height_A","avg.height_B","avg.height_C","avg.height_F","avg.height_G","avg.height_P","max.height_A","max.height_B","max.height_C","max.height_F","max.height_G","max.height_P","p95.height_A","p95.height_B","p95.height_C","p95.height_F","p95.height_G","p95.height_P","ldmc","sla","lma","area","d15N","d13C","pN","pC","cn","sdmc","rdmc","sdens","rdens","fr.diam","fr.dmc","fr.srl","fr.dens","seed_mass"
"BOCU","Poaceae","Bouteloua","Bouteloua","curtipendula","curtipendula","Bouteloua_curtipendula","Bouteloua_curtipendula","p","G","y","C4","p","g","p_g",18.2781,NA,NA,NA,NA,18.2781,62,NA,NA,NA,NA,62,41,NA,NA,NA,NA,41,0.3914,26.9665,0.0374,2.1559,-3.1759,-16.0679,1.3818,42.9031,31.956,0.4263,0.3873,9e-04,0.0011,0.0709,0.1961,0.754,205.5004,0.5411
"BOER4","Poaceae","Bouteloua","Chondrosum","eriopoda","eriopoda","Bouteloua_eriopoda","Chondrosum_eriopoda","p","G","y","C4","p","g","p_g",11.9218,10.6117,10.2888,12.6467,13.1649,10.4124,80,33,37,80,80,36,23,19.9,22,24,24,21,0.3656,28.7501,0.0348,0.5711,0.7917,-15.1882,1.2478,43.5096,36.704,0.4926,0.3242,0.0013,0.0014,0.0851,0.2009,0.9078,191.3531,0.1818
"BOGR2","Poaceae","Bouteloua","Chondrosum","gracilis","gracile","Bouteloua_gracilis","Chondrosum_gracile","p","G","y","C4","p","g","p_g",9.6795,9.6661,NA,9.6941,16.1625,9.6529,51,45,NA,45,32,51,24,22,NA,22,28,25,0.4242,23.7876,0.0423,0.6031,0.394,-15.8695,1.6414,44.4854,27.8672,0.3399,0.3246,0.001,0.0016,0.0961,0.1465,0.8855,126.8857,0.3957
"BOHI2","Poaceae","Bouteloua","Chondrosum","hirsuta","hirsutum","Bouteloua_hirsuta","Chondrosum_hirsutum","p","G","y","C4","p","g","p_g",6.1126,NA,NA,NA,NA,6.1126,30,NA,NA,NA,NA,30,15,NA,NA,NA,NA,15,0.4207,27.8072,0.0363,0.2655,-1.8403,-15.8518,1.2319,39.9247,32.3883,0.3396,0.3153,0.0011,0.0022,0.0415,0.1495,0.1784,170.3204,0.3807
"BRCA3","Asteraceae","Brickellia","Brickellia","californica","californica","Brickellia_californica","Brickellia_californica","p","S/ss","y","C3","p","s","p_s",20.6866,NA,NA,NA,NA,20.6866,42,NA,NA,NA,NA,42,41.8,NA,NA,NA,NA,41.8,0.18,51.2645,0.022,2.4899,-0.6686,-28.6222,2.207,47.3638,21.6491,0.3374,0.3943,4e-04,5e-04,0.0664,0.1163,0.2694,91.7308,0.2393
"BREUC2","Asteraceae","Brickellia","Brickellia","eupatorioides","eupatorioides","Brickellia_eupatorioides","Brickellia_eupatorioides","p","H/ss","y","C3","p","f","p_f",15.8788,15.8788,NA,15.8788,NA,NA,39,39,NA,39,NA,NA,34.5,34.5,NA,34.5,NA,NA,0.1933,32.601,0.031,0.3914,3.9397,-29.9982,2.3717,49.2901,21.9159,0.3366,0.3831,5e-04,5e-04,0.0629,0.0833,0.2017,72.3463,1.7304
"CHAL11","Euphorbiaceae","Euphorbia","Euphorbia","albomarginata","albomarginata","Euphorbia_albomarginata","Euphorbia_albomarginata","p","H","y","C4","p","f","p_f",1.602,1.603,NA,1.602,1,NA,14,14,NA,14,1,NA,3,3,NA,3,1,NA,0.3282,19.6068,0.0513,0.323,1.2314,-13.5392,1.2973,46.4721,35.966,0.2545,0.3824,7e-04,9e-04,0.0451,0.0607,0.1213,91.6018,0.2825
"CHCHC3","Euphorbiaceae","Euphorbia","Euphorbia","chaetocalyx","chaetocalyx","Euphorbia_chaetocalyx","Euphorbia_chaetocalyx","p","ss/H","y","C4","p","f","p_f",3.3313,NA,NA,NA,NA,3.3313,10,NA,NA,NA,NA,10,6,NA,NA,NA,NA,6,0.2928,29.5603,0.0346,0.2919,-3.7083,-15.4062,1.7602,46.7111,26.8071,0.3983,0.4902,0.0013,7e-04,NA,NA,NA,NA,NA
"CHCO2","Solanaceae","Chamaesaracha","Chamaesaracha","coronopus","coronopus","Chamaesaracha_coronopus","Chamaesaracha_coronopus","p","H","y","C3","p","f","p_f",6.2588,7.95,NA,7.95,NA,5.7385,20,19,NA,19,NA,20,17,17.4,NA,17.4,NA,16.05,0.1515,24.2348,0.0419,1.3455,6.0813,-28.5522,3.4865,43.4525,12.6352,0.1894,0.2361,3e-04,4e-04,0.0458,0.0433,0.0706,58.752,1.0434
"CHER2","Asteraceae","Chaetopappa","Chaetopappa","ericoides","ericoides","Chaetopappa_ericoides","Chaetopappa_ericoides","p","ss/H","y","C3","p","f","p_f",6.5175,10.5,6.2267,6.4157,7.2629,7.2966,22,12,22,22,17,19,13,11.85,14,13,12,13.1,0.329,24.6846,0.0415,0.2175,1.3378,-29.7855,1.7728,48.7602,28.018,0.3713,0.4168,8e-04,9e-04,0.0601,0.0482,0.1454,68.5412,0.1795
