len,diam.95%,vol,code
44.502934961,0.079250937,0.167953987989,486
50.2555083,0.06292195,0.13047308512,487
11.03357983,0.032846954,0.003585087033,488
9.74694385,0.0192766516,0.002128150083,489
29.124657726,0.026274481000000002,0.010603208532,493
7.887097600000001,0.03837193245,0.0081925674,494
4.57694839,0.023617214649999996,0.001838653904,495
21.818841402,0.03426954659999999,0.0138934520895,496
10.191879334,0.050837370800000024,0.010106001008,497
33.204607753,0.0338411701,0.0197799856077,498
41.220014847,0.035927468,0.021958982988,499
53.714917650000004,0.052472395,0.049389600378,500
40.844682404000004,0.022225393599999997,0.012098627009,501
52.619338854,0.0386263965,0.036740332532,502
29.124107786,0.0343176424,0.014098411579,503
62.478003894,0.0413194215,0.047533477384,504
38.35944723,0.028691144699999994,0.016022563304,505
50.930090842,0.02235538599999999,0.0149357744474,506
39.87245509,0.031167314249999998,0.014909190793,507
34.049977867,0.0368902501,0.02019338976,508
18.690073534,0.03400863,0.012579440557,509
21.179994057,0.032905402599999994,0.0143549485963,510
30.467350585000002,0.05913125579999996,0.026712076239,511
17.32529181,0.0194729492,0.0037370594999999998,512
6.178596300000001,0.020281880349999996,0.0020931582400000003,513
6.66846295,0.015713707,0.00108686266,514
46.2912907,0.0621250802,0.10878841367,515
77.91803283,0.0418188568,0.094726848137,516
99.580859134,0.055210835,0.206575108025,517
9.12605492,0.067928158,0.016933959911,518
78.802836901,0.0615819668,0.127519619112,519
40.36166891,0.02950562544999999,0.015533463231000001,520
50.93616891,0.026223238599999983,0.01750350806,521
55.06080257,0.027860240249999974,0.0214503262415,522
83.844859626,0.03998307419999999,0.0968902147935,523
78.005556241,0.0362814464,0.056660416714999995,524
70.430673506,0.03971912,0.060231333265,525
44.82422075,0.13924257999999998,0.49475179997,526
19.00416936,0.19734400099999996,0.50392547118,527
25.486383879999998,0.2036286175,0.69688327376,528
63.74692538,0.0707364925,0.216140795,529
23.279764464,0.0651269704,0.055453730292,530
76.309339498,0.0639624595,0.1744760512286,531
26.68060161,0.128567365,0.347405709534,532
66.412496528,0.10455823750000004,0.59066477224,533
12.066429119999999,0.15253097850000003,0.26192443593,534
19.598171144,0.034775198249999986,0.0083759610036,535
17.998423265,0.02112158475,0.0076115663098,536
25.833880764,0.040209192649999975,0.0162488894985,537
54.0561737,0.04485837185,0.0808382312669,538
66.62969675000001,0.053887918,0.110228178182,539
80.692365318,0.04691419865,0.11735268690799999,540
28.24709395,0.07012349999999998,0.073898084665,541
30.967185935,0.042440277,0.034330753512000003,542
31.979396745,0.073794241,0.11234746593,543
57.230129234,0.0508603842,0.100709810286,544
93.770653926,0.066023969,0.219917909292,545
82.46300081,0.054936371549999995,0.1345964369925,546
218.723456498,0.037579276,0.131848544182,547
117.641735749,0.058168284550000005,0.149283971334,548
89.34080572,0.0392370118,0.083696005348,549
10.588624280000001,0.038139947999999986,0.003528961409,550
3.3372488000000002,0.01789310535,9.3412836e-4,551
5.419267,0.0231963658,0.00259134837,552
5.43068795,0.018204068549999997,0.001240121708,553
3.11493251,0.01753594025,6.713316510000001e-4,554
8.09537258,0.025969168199999986,0.002493314262,555
3.95224628,0.01599204685,7.0570956e-4,556
4.92844926,0.0153055025,9.1196317e-4,557
24.65279027,0.05201543,0.04674847822,558
21.88263988,0.06768973699999997,0.073928318885,559
30.983352123,0.06911611389999998,0.089365598265,560
25.97503977,0.08314281700000001,0.11883520511,561
36.156500677,0.046427217699999995,0.033245499718999996,562
23.144559794,0.0317678245,0.016245131549,563
28.730886957,0.026434034049999992,0.008876527659,564
65.116533063,0.09993979099999994,0.364351941059,565
49.946405658,0.09939316249999998,0.285555682112,566
66.022011229,0.1047755612,0.5095798269840001,567
11.957501099,0.0319621991,0.006667631494,568
13.24372653,0.028472377599999998,0.004725978142,569
10.21171815,0.03963302519999999,0.0126552472325,570
66.581527187,0.028377007500000002,0.0346856662018,571
36.122930579,0.0252682109,0.014113346565900001,572
30.093255314,0.034135716199999985,0.0184407699335,573
29.7548866,0.1026236529,0.17721387589999998,574
28.534127985,0.065187735,0.06766407132,575
13.794298079999999,0.051920452199999995,0.02211557232,576
8.967463778,0.037170723,0.007206741361700001,577
11.706975703,0.035649601899999994,0.0096352187712,578
12.774415911,0.034643909449999996,0.0089016240025,579
19.83628937,0.08775720549999999,0.083668526962,580
8.41179108,0.066581445,0.02314973235,581
27.38690506,0.09315835399999997,0.13484345442,582
17.245160581,0.044888986749999985,0.010419518534,583
8.97728985,0.021132913849999997,0.002994674932,584
11.24278679,0.027831913,0.004044021445,585
4.25589304,0.038003125,0.003065429407,586
9.39425508,0.044772899649999996,0.011474513222999999,587
3.8034425400000003,0.0547169404,0.00632233234,588
33.53024339,0.05647439755,0.050052707897,589
31.562179807,0.037228565199999994,0.0274035828,590
27.326758273,0.03444650859999998,0.021172216807,591
26.12096399,0.0509094336,0.041272716834,592
10.473394105,0.0391956356,0.010213745982,593
44.905815513,0.126485333,0.432363530358,594
25.54737422,0.140853065,0.30670322916000003,595
40.812808805,0.13897297349999999,0.552433647762,596
15.738194604,0.035723761,0.0110959207389,597
11.6075113,0.0439232472,0.0170564742,598
15.1191233,0.05786213959999999,0.0268335588,599
28.669129714,0.082953294,0.132335507496,600
25.728663010000002,0.07631598839999999,0.10875244736,601
33.780425416,0.08631868699999999,0.17026011899000001,602
67.125183667,0.07864111299999998,0.2537326032717,603
47.923104631,0.07983470079999998,0.165843576867,604
58.658309243,0.0967442387,0.392182700684,605
32.879926275,0.05475374889999997,0.037965279668,606
68.10677534,0.045104366799999976,0.0543131922277,607
42.642343231,0.035715460049999995,0.0374007294734,608
66.55013010900001,0.10277699524999999,0.403052470178,609
70.871957614,0.11086054349999994,0.503114909101,610
60.664277150000004,0.0747149275,0.45664943129470004,611
52.283034300000004,0.12396246949999998,0.439461543,612
24.22224002,0.16408959,0.44980323649000004,613
21.775454563,0.11521376959999999,0.221498295571,614
38.870746743,0.051155310399999994,0.049334158273,615
36.911338075,0.045557533149999996,0.0419983985837,616
64.327217128,0.03375972875,0.0376107691462,617
46.00797444,0.04212871139999999,0.0517451378635,618
23.208917699,0.037343231000000005,0.0184973717,619
36.037594443,0.048277654,0.0440693496455,620
47.555240844000004,0.05424228339999999,0.069830880609,621
18.268200537,0.0480731105,0.023774851829,622
39.764257074,0.05007804590000001,0.061851286147,623
